trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.27160737470732454,0.6729942862036291,0.48314800721890394,0.4208568925355232,2,1,0.7110665900745516,1,1,1,2,1.1637887811216387,2,0,0
1,1,0.2535086746667057,0.6462497669678255,0.560610589910519,0.44109535507455905,2,1,0.7184307733268724,1,1,2,1,1.067039544601812,1,0,0
2,0,0.3020106759019283,0.6531768479270417,0.5435408987840309,0.42933060766766573,1,2,0.7258474802670207,2,1,1,2,0.49262479884782806,2,0,0
3,1,0.30320695800028913,0.6491197541714693,0.534511931163719,0.4274035856244116,1,2,0.7089073835327326,2,2,1,2,0.8469133730441172,1,1,0
4,0,0.2812175611963006,0.6946523597469224,0.5023099050053679,0.3982072073542233,2,1,0.6040936479239463,2,1,2,1,1.4166257394444983,1,1,0
5,1,0.3026073210162417,0.7191219566554865,0.4772270321795773,0.42417754726795265,2,1,0.531520400773843,2,2,2,1,0.8988052672202684,1,1,0
6,1,0.29986647909107034,0.7202970013191038,0.48413230514190486,0.4129688297169223,1,2,0.6321434101937484,2,2,2,1,0.7808385738794641,1,0,0
7,1,0.2990147196051032,0.745318620448876,0.48404826524082,0.4330902898178478,1,2,0.49277814386732643,1,1,1,2,1.2679423483095889,2,0,0
8,1,0.3056906392561833,0.7259760613703259,0.5391383937713812,0.410913141581279,2,1,0.619991722991017,1,1,2,1,0.7392295499475949,2,1,0
9,0,0.27951224986902035,0.7307743947189393,0.49052045443920034,0.43360396018095904,2,1,0.5338930225302647,1,2,1,2,1.5624837184113858,2,0,0
10,1,0.2559565921430824,0.7237645052714832,0.5114425458057533,0.3887229149071487,1,2,0.800031755701184,1,1,1,2,0.7860761514989463,2,0,0
11,0,0.25541584271400986,0.7025998268619063,0.4801214948963062,0.34963981603152616,1,2,1.340747122290395,1,2,2,1,1.6682727645661544,1,1,0
12,0,0.2698043901371261,0.6779600663770036,0.455746638284666,0.35839366376259907,1,2,0.5059549485613388,2,1,2,1,1.6198613193528217,1,0,0
13,1,0.2776040866843848,0.6891338305016019,0.45631121365910915,0.3752270261711177,2,1,0.6974267317195881,2,2,2,1,0.752780963242003,1,0,0
14,0,0.30704042537664084,0.7123462055074491,0.4475466393134724,0.33575490960696985,2,1,0.5687147181934051,1,2,2,1,1.6612895289808876,2,1,0
15,1,0.3495247298649854,0.67275317598485,0.4833208659548446,0.3616572983100216,2,1,1.0109943549114178,2,2,1,2,0.7703788135140712,2,1,0
16,1,0.34213957813448337,0.6831356264030578,0.4999247640986024,0.3282161784780162,2,1,0.5995714791552018,2,2,1,2,0.6655327788566865,2,0,0
