trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,0,0.7412519799451078,0.4084813456322041,0.3645600515041181,0.7125348504396046,2,1,1.2476443521954934,1,2,1,2,0.9670407026355861,2,0,0
1,1,0.7345738962867916,0.34274344752334085,0.3649642894454752,0.7282724759961687,2,1,0.7987377984009072,1,1,2,1,1.224613866951131,1,1,0
2,0,0.7460579169152536,0.3709786862026433,0.35578658953518927,0.744349370375124,2,1,0.4778106504409152,1,2,1,2,1.4743751703626913,1,1,0
3,0,0.7483759537049605,0.3872277975004244,0.33902613974750473,0.7352437848986391,2,1,0.5328652676616912,1,2,1,2,0.9719157578388149,1,0,0
4,0,0.7343159443041101,0.38491798521375276,0.3497713838867773,0.7361711868918597,2,1,0.47838780867914465,1,2,2,1,0.9467028175404266,1,0,0
5,1,0.7460846334974585,0.4181242415739386,0.34044715403211256,0.7372465507219146,2,1,0.5065007276361939,1,1,1,2,1.281573227102399,1,1,0
6,0,0.738667406429404,0.47656074840498097,0.34257844568754614,0.7348058576166077,1,2,1.1028657778069828,2,1,2,1,0.9367734016987015,1,1,0
7,1,0.7165738480805794,0.5400567557949989,0.371855260397965,0.7008743428398843,2,1,0.9712154403109707,2,2,1,2,1.1863608331727846,1,0,0
8,1,0.7096207861303685,0.5016027085797776,0.34799644784434847,0.6872853681364648,1,2,0.9221953264068361,2,2,2,1,1.428023809588467,2,1,0
9,1,0.7330820624129502,0.5145035529959513,0.3877403299588922,0.656015039488195,2,1,0.9132738244552456,2,2,2,1,1.2458174894040894,2,0,0
10,0,0.7368270113019173,0.5097013502578034,0.39754547550657654,0.6743428367038089,1,2,0.9257068754577631,2,1,2,1,0.7969067095550599,1,0,0
11,1,0.6953776301703927,0.5224711809253509,0.3625252640083554,0.6812423729545141,2,1,0.9112691655323033,1,1,1,2,1.643809751498793,2,1,0
12,1,0.6657116162902688,0.5111190972430335,0.3712007411472606,0.6503782351431491,2,1,1.3210635891332458,2,2,2,1,1.4351169394431054,2,1,0
13,0,0.6261130743939054,0.48930614459458743,0.3733531820598606,0.6447892692746955,1,2,0.9737492615727206,2,1,1,2,0.7543539676462387,2,1,0
14,1,0.6580347125541558,0.5237465083728938,0.36206945955157077,0.6144126758933051,1,2,0.47132426120288073,2,2,1,2,1.1210580348911208,2,1,0
15,0,0.6731582808714752,0.4979534428439205,0.36425134960693356,0.6393279398947087,2,1,1.0141853541267665,2,1,1,2,0.6133673711801748,2,0,0
16,1,0.7085957587346117,0.5270257730317869,0.3838849378672449,0.6131803357384058,2,1,0.6397620973061748,2,2,1,2,1.105542379322742,1,0,0
17,1,0.7263945462054132,0.5335377086573674,0.3839297037315532,0.6540089861464626,1,2,0.4760435561279337,1,1,2,1,0.9257403820292893,1,1,0
18,1,0.7159017200930461,0.5748250766450651,0.3959163241215613,0.6454441314707746,1,2,0.7231170891664078,1,1,1,2,0.6686846074735513,1,1,0
19,1,0.7026823000929237,0.5854299549370245,0.43187181545450126,0.6576294194004372,1,2,0.7591179379996902,2,2,2,1,1.1075899025076978,2,0,0
20,1,0.6927472580848961,0.5603109540078668,0.4752624153098419,0.6578640995388981,2,1,0.6568616175582065,1,1,2,1,1.1279501253175113,2,1,0
21,1,0.7097678568116588,0.5482491889135941,0.464731007391773,0.6925441342716547,2,1,0.6237046012374776,2,2,2,1,0.969550073155915,2,0,0
22,1,0.7259109290407553,0.5452357422112801,0.47152632198076216,0.6835052302040554,1,2,0.6519147194376274,1,1,2,1,0.8590013290940988,1,1,0
23,1,0.7036481214696197,0.5305238125834599,0.5030141746986606,0.678626433090737,2,1,0.5600834706046953,2,2,2,1,1.2738368314494437,1,1,0
24,1,0.7149570683859732,0.5530617156058738,0.5189723787645267,0.6630927517197462,1,2,0.8045133049763535,2,2,2,1,0.8223626479602899,2,1,0
25,0,0.7008003164447807,0.5472901846675846,0.5420155957222467,0.6648551478568882,2,1,0.6090003480449013,2,1,2,1,1.095874676971107,2,0,0
26,1,0.6974893955413051,0.5343257832679247,0.5796690328227976,0.6003069860855645,1,2,0.6477408873442982,2,2,2,1,0.8067748476132692,1,0,0
27,0,0.732593489060239,0.5205326436163995,0.6094950664072254,0.6210129636215754,1,2,0.6118221447050018,2,1,2,1,1.210937148614903,1,1,0
28,0,0.6995861176547375,0.543058413534039,0.622625922883595,0.6375476947045704,2,1,0.8214365384028497,1,2,2,1,1.2766513834440048,1,1,0
29,1,0.6818377228287469,0.5050167442923601,0.6191151868830331,0.6116114167863049,1,2,0.7111329054760063,2,2,2,1,1.0169132720138805,1,1,0
30,1,0.7087163037955834,0.5123222919416641,0.6764808803314142,0.5723058138612158,1,2,0.4701747745020839,2,2,2,1,1.1572303407738218,1,1,0
31,1,0.736779292559041,0.4888310811722607,0.62879088219316,0.5359113137301974,1,2,0.53046969873958,2,2,1,2,1.0895235214629793,1,1,0
32,1,0.7367364688807335,0.5142079015212642,0.6187703711548442,0.5214111938044306,1,2,0.5800053912380463,2,2,2,1,0.8137261027959539,1,0,0
33,1,0.7482542648830994,0.4953385003976485,0.6272006124294992,0.5264335136426456,2,1,1.2213791244403183,2,2,1,2,0.9807394568251766,2,1,0
34,1,0.7299506484884831,0.5059386016263472,0.6399270577788352,0.4899043513016266,2,1,0.5990842140881796,2,2,1,2,1.0674816310038295,2,1,0
35,0,0.7405049560707543,0.4805827012416073,0.6342351283960981,0.5045999501583343,2,1,0.6967347393410819,2,1,2,1,1.1358845417889825,2,1,0
36,1,0.7491349741810867,0.514560049372945,0.6227591984417613,0.5242337014570009,1,2,0.8290869036700315,1,1,1,2,1.0762962741591764,2,0,0
37,0,0.721549886811856,0.4987310815531756,0.621347507657998,0.5494516437143211,2,1,0.9399770525260465,1,2,1,2,1.315262424372122,2,1,0
38,1,0.6733371127372068,0.48584090874533103,0.6187090150766075,0.5485484087470454,2,1,0.4271481108180524,1,1,1,2,1.3301595667444417,1,0,0
39,1,0.6717804504161682,0.5255797689627092,0.6672482213966043,0.4994595203768011,1,2,0.6154683237627978,2,2,1,2,1.2305167588701806,2,1,0
40,0,0.646066050903098,0.5329194075431621,0.7313769705462213,0.4820720394055229,2,1,1.2225258943917652,2,1,1,2,1.120480574791145,1,1,0
41,1,0.610530016185886,0.5257738209825362,0.7169513353333703,0.4908888283892657,2,1,0.6990337127417661,1,1,1,2,0.9621529692713011,1,1,0
42,1,0.6346910559730449,0.5702840138873906,0.6954509595017526,0.48625659088236306,2,1,0.9458126294412068,2,2,2,1,1.3876903497757667,2,0,0
43,0,0.6177694893667685,0.5557956185501918,0.7034769758434041,0.4755519122277212,2,1,0.5395889196488497,2,1,1,2,1.1653941716076588,1,1,0
44,1,0.6539589021245835,0.5952393300745005,0.6668352842942347,0.48242691695667184,1,2,1.3812305243054652,1,1,2,1,1.0206195214113905,1,1,0
45,1,0.6408798242735292,0.562917514233068,0.7125653115220363,0.43663703646640983,1,2,0.8045290017480511,2,2,2,1,1.9262915802210046,2,0,0
46,1,0.6444095661999322,0.6072673463635097,0.711007234515336,0.41575958565464677,2,1,0.5158880011158544,1,1,2,1,0.9495505742452224,1,1,0
47,1,0.6256543388844045,0.640522538506701,0.7231546557520918,0.422368679493561,2,1,1.0266416484273577,1,1,1,2,0.8125693714318913,1,0,0
48,1,0.6335220874910503,0.7308741895608382,0.7117734482006188,0.3816405996361789,2,1,1.2710132236243226,2,2,2,1,0.9850135067708834,1,0,0
49,1,0.6606941831235996,0.738829821225688,0.7323362730612061,0.4044092375065033,1,2,1.574118497951531,1,1,2,1,1.0428932411214191,1,1,0
50,1,0.6746281538542102,0.7255708848579481,0.7121771280033562,0.3681749476249878,2,1,0.7574604192304832,1,1,1,2,0.8392725995026922,1,0,0
51,1,0.6733830412070223,0.7152184683723848,0.7096492481586334,0.36938544386439875,1,2,0.6684461372806254,1,1,1,2,0.8301799423625198,2,1,0
52,1,0.6820079314847387,0.690836350357507,0.7490289553354303,0.3256594843909242,2,1,0.5659489317595217,1,1,1,2,0.9090942570037441,2,0,0
53,1,0.6854181591256145,0.6992020001582345,0.731909513128457,0.3098296624718495,1,2,1.2955080365964022,2,2,2,1,0.7188312666421552,2,0,0
54,1,0.6644194889403408,0.7140856046238326,0.7012493152344577,0.2999476758960171,2,1,0.747904103588553,2,2,2,1,1.0377706598956138,1,1,0
55,1,0.7235186166497997,0.7473167440115664,0.7076583032567517,0.3298246744753125,2,1,0.6135825980745722,2,2,2,1,0.644623568764473,1,1,0
56,1,0.7437557310272505,0.7495951929347964,0.6984271945742209,0.3314573754948583,2,1,0.726960987181883,1,1,2,1,0.9341140062597333,1,1,0
57,0,0.7325593591331528,0.7369150511564811,0.7166640982802154,0.34198602299942726,2,1,1.056557281294772,1,2,2,1,-1,-1,0,1
58,1,0.7400743947690528,0.6912970822563662,0.7136965547301428,0.32845793728924777,2,1,0.7433390596370373,2,2,1,2,0.7290788439804601,1,1,0
59,1,0.7449320086641681,0.6498656432938426,0.7055284295383331,0.332267735735905,1,2,0.5103023651117837,2,2,2,1,0.5359602485277719,1,0,0
60,1,0.7263379438423061,0.6209616799281565,0.685646352657344,0.3534997538099818,1,2,0.3595849773437294,1,1,1,2,0.8279325871935725,1,1,0
61,0,0.7219856558956872,0.6293562791690975,0.7172993235601055,0.3111401482560934,2,1,1.0143393032385575,2,1,1,2,0.6028239700581253,1,0,0
62,1,0.7331709903960417,0.6412498649373914,0.7004308052135635,0.29754328692648135,2,1,0.5384756562680195,1,1,1,2,0.5936117759592889,1,0,0
63,1,0.6692844766409323,0.6653316229381606,0.6426274304625217,0.30691746141890974,1,2,0.6600178762082578,1,1,1,2,0.5337494185405376,2,1,0
64,1,0.6294112427673617,0.6684675440443325,0.6302596306861075,0.3230717596248457,2,1,0.7627571742550572,1,1,1,2,0.9085273620394219,2,1,0
65,0,0.5917467375161003,0.6722097627718046,0.6313414986356626,0.2784276625167035,1,2,1.3937758676011072,1,2,1,2,0.97178625946799,2,1,0
66,1,0.5863021668691535,0.682073605792806,0.6232556287193924,0.2553491705924893,2,1,0.9236656913535626,2,2,2,1,0.808212913432726,2,0,0
67,0,0.6034915803240047,0.6811411366722036,0.6510608375940641,0.2771959085923674,2,1,1.017399871950147,1,2,2,1,0.47265486450578464,2,1,0
68,1,0.5631415725139974,0.7041407674190697,0.6288479909658566,0.2988201121792028,1,2,0.5096479304556851,2,2,1,2,0.7913826531948871,2,0,0
69,1,0.5620378084723239,0.6878048947131536,0.585888604443283,0.3380734173920615,2,1,0.6284136328877139,1,1,2,1,0.5154647919889612,2,1,0
70,1,0.5584712909799172,0.6719134532727926,0.5342750523280304,0.31564829297869257,1,2,0.528406176921635,1,1,1,2,1.1274614123531137,2,1,0
71,0,0.5961641756120766,0.6585513810381549,0.4932785307234502,0.28455217603597327,2,1,0.6473267340479651,1,2,2,1,1.4144219527815949,2,0,0
72,0,0.6040111059485949,0.6697216588381321,0.5415561607558574,0.31414644075360404,2,1,0.6063883447841363,1,2,2,1,1.114798645126939,1,1,0
73,0,0.6204310216874597,0.6214727815900307,0.5726164893281058,0.29961391156382766,2,1,0.6319209558851071,1,2,1,2,1.4363162332092543,1,1,0
74,1,0.6139965220447983,0.6232738024999364,0.5838272167871829,0.32405943234946794,2,1,0.4096543600953737,1,1,1,2,1.5446764849975807,2,1,0
75,0,0.5954588943619097,0.6176414285201888,0.561037904874365,0.3253432229032187,1,2,0.9181014874802713,1,2,1,2,1.4106118631971185,1,1,0
76,1,0.6376818152281349,0.6422278399014061,0.5333937981914909,0.34990976774748184,2,1,0.8480636975009475,2,2,1,2,0.8925555944961161,1,1,0
77,1,0.6621730090376109,0.6806425376332574,0.5111215162216287,0.3255087296606023,2,1,1.1082549022985404,1,1,1,2,1.4061938255536006,1,1,0
78,0,0.6655885653232162,0.6990551678812339,0.5006454841076662,0.29932771997570384,1,2,0.6621073580736265,1,2,2,1,0.8638869494325263,1,1,0
79,0,0.6941856586615824,0.6942772309107696,0.5121105278986477,0.3056291978789226,2,1,0.6583567351081001,2,1,2,1,0.8680339158945571,1,1,0
80,0,0.7123808296679387,0.6636284874590257,0.5065436122731,0.34034105099616563,2,1,0.5665064690329018,2,1,1,2,0.7175504704046034,1,0,0
81,1,0.7461721989226455,0.6366375546091168,0.5363284822335329,0.36428646103300316,1,2,0.9759573748115145,2,2,2,1,0.9594467853767128,1,0,0
82,1,0.73111739952305,0.6932178182207057,0.5356282803694183,0.32349078295274936,2,1,0.700345298801949,1,1,1,2,0.8381469598225522,1,0,0
83,1,0.7449562856959453,0.7066274395449524,0.5252895600997638,0.32080803393806256,2,1,0.6806210971262772,2,2,2,1,1.1224212391816764,2,1,0
84,1,0.7357980524322454,0.6966005825364183,0.5640860593498169,0.3488195219791008,1,2,0.8530534598858139,1,1,2,1,1.2521900770434513,2,0,0
85,1,0.7174540354572159,0.7100995715032251,0.5364375284866894,0.3484004733709125,1,2,1.1828097403304128,1,1,1,2,1.3367316845078676,2,1,0
86,1,0.6854355522808742,0.7346121610555587,0.5886011997191551,0.3652487743304462,2,1,1.331417723406048,1,1,1,2,0.7787642595367288,2,0,0
87,1,0.6719996593702309,0.716597269385254,0.5814069959012236,0.37170043719019574,1,2,1.8931565997527287,2,2,2,1,1.3780220437020034,2,0,0
88,0,0.6404075718155586,0.6989324191768742,0.5768664995405792,0.31644615731621606,2,1,1.1325888233541264,1,2,2,1,1.129230619692862,1,1,0
89,1,0.6292631153468982,0.6881259123148717,0.5156862708690997,0.3236093464740216,1,2,0.7078172642159188,1,1,1,2,1.4509027606100062,2,1,0
90,1,0.6040732884455156,0.6730375581583206,0.4928393479429447,0.3536656963227849,1,2,0.8641196842654608,1,1,1,2,0.5379935842456689,2,1,0
91,1,0.6304467737442855,0.6526248895340265,0.49431255180858297,0.36431943969840747,2,1,0.8309182943767155,1,1,1,2,0.576774572919021,2,1,0
92,0,0.6085193234916497,0.6540962877285562,0.4966948099998954,0.3263119651304529,2,1,0.46705111684059375,1,2,2,1,1.5167748687426865,1,1,0
93,1,0.6048724298015564,0.6426974524661282,0.437830350800968,0.35814763555071066,1,2,0.5167081574618351,1,1,2,1,1.0251193633876028,2,0,0
94,1,0.6381492334215307,0.6439745218413184,0.43212361426210144,0.33285585398198414,1,2,0.5048492460873604,2,2,2,1,0.6985205490364024,1,0,0
95,0,0.611520216620669,0.6314105907979835,0.4183180961191959,0.2905163107619484,2,1,0.8529831262721927,1,2,2,1,0.9375549198366571,2,0,0
96,1,0.6432101026675628,0.6096831169685806,0.4325282756139783,0.2928096368422539,1,2,1.3746381818555165,2,2,1,2,1.07795500037264,2,0,0
97,1,0.6785352974405289,0.5596463563654321,0.4217812545897275,0.3370231408840628,1,2,0.5605489402723833,2,2,1,2,1.0530233945291911,1,1,0
98,1,0.7093003545587914,0.5806198154131808,0.39230814486713794,0.28996248372909683,1,2,0.46875572592580284,2,2,2,1,0.7904257538148158,1,1,0
99,1,0.6867012278819078,0.5872261854607582,0.3563086058653391,0.30265863774765867,1,2,0.7928017017711682,2,2,1,2,0.730563396395155,1,1,0
100,1,0.6977450439622008,0.597095555096457,0.3119346385373487,0.31396948014455306,1,2,0.5329552222410712,2,2,1,2,0.6599940291898747,1,0,0
101,1,0.6826989990313554,0.6044292252117005,0.30896689421318824,0.32429880556798063,2,1,0.8543535752269236,1,1,2,1,1.138840666593751,1,0,0
102,0,0.7388268347258939,0.5789366771838496,0.29539059544546253,0.342116227889973,2,1,0.5575221799917927,2,1,1,2,1.3379270540808648,2,0,0
103,1,0.7314733616327818,0.5815429793947864,0.29296211888640444,0.37168396775011897,1,2,0.8497713251972527,1,1,1,2,0.9370553398757693,2,1,0
104,0,0.7412158692847362,0.5576820770549729,0.27328589126456126,0.4145843244653149,2,1,0.8115696077893517,1,2,1,2,1.2079894759181116,2,1,0
105,1,0.7439460079352734,0.59820802541409,0.25437908392620945,0.4523811817337264,2,1,0.6559013977075665,1,1,2,1,1.1670064112258842,1,1,0
106,0,0.7463563818976097,0.5794005811186222,0.2703760420858511,0.4510847739170831,1,2,0.6122435426650554,2,1,1,2,1.576608851229139,1,1,0
107,0,0.7251269136158074,0.5518809747503481,0.3050907358647949,0.42433492944706597,2,1,0.7126500588783529,1,2,1,2,0.8770405426503203,2,0,0
108,1,0.6944350720465258,0.552898499925233,0.2750040774726339,0.36827668911377787,1,2,0.6395698118467408,1,1,2,1,1.3933882780729618,1,1,0
109,1,0.6980858304765423,0.5365080920775642,0.2682036532585186,0.34065635965721164,2,1,0.48402294988864014,1,1,2,1,0.7444191183067232,1,1,0
110,1,0.7003563936410535,0.5249255023717345,0.3018023172379781,0.3067540143491332,1,2,0.7015666284205508,1,1,2,1,0.6552955626730181,1,0,0
111,0,0.6640228988429395,0.5099023827784506,0.35787760452621353,0.2918628493068891,2,1,0.5162363487133916,2,1,1,2,1.1125811741967482,2,1,0
112,1,0.6827913298562824,0.5524099537276694,0.3548128666668344,0.2933592660516006,1,2,0.7551526918605305,1,1,2,1,0.7569463499421545,2,0,0
113,0,0.676247504484653,0.5059270603298645,0.36348989325848574,0.29178541280734294,2,1,0.9405859061707815,1,2,1,2,0.5717350034701667,1,0,0
114,1,0.6701463512704873,0.5004572048381548,0.3333103761224019,0.2630623434701924,1,2,0.718054880141608,2,2,1,2,0.7944939345561579,2,0,0
115,1,0.6835722691882248,0.535516901610107,0.34890051588666476,0.266951115799044,1,2,0.6770153674415269,2,2,1,2,0.825447365553373,1,0,0
116,1,0.69563119762227,0.5171834652798215,0.3626510037001182,0.2501177229483691,1,2,0.5052314021168058,2,2,1,2,0.9121964825344548,2,1,0
117,0,0.661086653925218,0.5129641148850765,0.4081884863476874,0.2534440063007275,1,2,0.43472059594569146,2,1,1,2,1.1030644023467175,2,0,0
118,1,0.7051021602082947,0.5346089669865168,0.4116713820562578,0.2535712213625057,2,1,0.7536636115310102,2,2,2,1,1.7102294354926926,2,0,0
119,1,0.7186510750570869,0.524073862644141,0.45965314242256516,0.29928295519669756,2,1,0.7290133401429557,1,1,2,1,0.8854594460308363,1,1,0
120,1,0.6584064293024243,0.5006025432320198,0.46604717851032884,0.290618485287111,2,1,0.437235098102974,1,1,2,1,0.6709965608979473,1,1,0
121,1,0.6461996020310288,0.5242350390004009,0.5264513647512601,0.28757978757402247,2,1,0.4786588798606317,1,1,1,2,0.7364228203296079,1,1,0
122,1,0.655426498374116,0.5081363029052728,0.5124908407660238,0.28905509334328994,2,1,0.5174691490501573,1,1,2,1,0.6791546563727024,1,0,0
123,1,0.6055132802770635,0.5254066908712399,0.4627602047044834,0.29185552166138023,1,2,1.380162841936908,2,2,1,2,0.550203861828777,1,1,0
124,1,0.5752326890919237,0.5383046049964031,0.4821027755408018,0.2778504673899367,1,2,0.5178289673667678,2,2,2,1,0.7301902961944506,1,0,0
125,0,0.5307588537990799,0.541982509644337,0.49495362249014874,0.28301045965116545,2,1,1.6312390518787652,1,2,2,1,1.9320897263723964,2,1,0
126,0,0.5307297958457382,0.5424771495056427,0.5456964438818286,0.25312923981294433,1,2,0.5722388094845883,2,1,2,1,1.3926197399587181,1,0,0
127,1,0.545745832009185,0.5436441788164578,0.5319845000944299,0.2755846624942797,1,2,0.48061161869009084,2,2,1,2,1.284975200608642,2,0,0
128,1,0.5742203644835187,0.5792014608010758,0.5064492153555276,0.3084412664844259,2,1,0.38635763344518637,2,2,2,1,0.8359195274788362,1,1,0
129,0,0.5915105769203495,0.5917976212001629,0.5379846731209155,0.28977835380722006,1,2,0.5957447258087996,2,1,2,1,1.5495240708496567,2,1,0
130,1,0.5485264567469121,0.5602698422126569,0.5372307773322063,0.2510201911335477,1,2,0.4695441868661874,2,2,2,1,-1,-1,0,1
131,0,0.48805650346283613,0.5982451473055437,0.5486994746696712,0.2514628149144824,2,1,0.37490261209404707,1,2,2,1,0.7019176927678927,2,0,0
132,0,0.46956615966624193,0.5920065104969856,0.5541327131186408,0.2510831337867774,1,2,0.3976230860880605,2,1,2,1,0.6392987406661632,1,0,0
133,0,0.464908024104828,0.5999823809619304,0.5779113063624651,0.2675630191076084,1,2,0.43627216150252934,1,2,2,1,0.3926121934337061,2,0,0
134,1,0.44284371877013795,0.6095774827930445,0.6064239635117976,0.2601758128200389,1,2,1.2400229655850126,2,2,2,1,0.7327434365606678,1,1,0
