trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.6535754184272662,0.37263919963476577,0.38209064630691947,0.3848821692818402,1,2,0.6135641159930856,2,2,2,1,0.6694762865686243,1,0,0
1,1,0.6600706947399992,0.3979532593712157,0.38261196559411426,0.38712918785754574,1,2,0.640808564395229,2,2,2,1,0.5745172113493027,2,0,0
2,0,0.7040810671861885,0.44012271858684804,0.39330001360407324,0.413000668726606,1,2,0.44665862710644433,1,2,2,1,0.4159485146183215,1,0,0
3,0,0.6989939049280931,0.45310666984428793,0.4028686261534729,0.41998378403491066,1,2,0.6075356535361607,2,1,1,2,0.4990263479216992,2,1,0
4,1,0.7036671712558656,0.45006874237288397,0.4530268388591182,0.4186675772993307,1,2,0.5091124235350435,1,1,2,1,0.4240465348639191,2,1,0
5,0,0.6843074299596172,0.4358693127233133,0.45934317513502426,0.41754332434943775,2,1,0.884737765958107,1,2,1,2,0.6915492553848708,1,0,0
6,1,0.6935665865356846,0.43866944048093676,0.4076369912516633,0.4015415099338915,1,2,0.35234613776628976,1,1,2,1,0.5765490365356527,2,0,0
7,1,0.7021924422262685,0.4208812501615562,0.3660134382131901,0.4007812290064581,1,2,0.3600780008359834,1,1,2,1,0.34694916814714816,1,1,0
8,0,0.6843221958732197,0.44286087018183834,0.33028053799400725,0.4531821588109578,1,2,0.7089035358467299,1,2,2,1,0.3370577927635168,2,0,0
9,1,0.6663657571155985,0.42783167737838257,0.32311925894390825,0.47624588240626353,2,1,0.7443767102304264,1,1,1,2,0.3926333885237909,1,1,0
10,0,0.6563318737883299,0.4470433969245273,0.3344494730565601,0.4810052718044772,1,2,0.9475109311351844,1,2,2,1,0.7602862848025325,1,0,0
11,1,0.6376443089146715,0.47733110843723325,0.34856047062614304,0.4589360050945783,2,1,0.9952749725684953,1,1,1,2,0.8694922851918818,1,1,0
12,1,0.626422269304544,0.4911213686509612,0.3515551679946933,0.4710266035595554,2,1,0.4750878792315234,1,1,2,1,0.6797588735757927,1,0,0
13,1,0.6387464618376374,0.4777766926662843,0.3861068334590871,0.4646655593189064,1,2,0.525331103588087,1,1,1,2,0.8687204270727307,2,1,0
14,1,0.663704281819919,0.4913549183297932,0.3916701465058213,0.42119838691819633,1,2,0.5783448065599259,1,1,1,2,0.6843975688129831,2,1,0
15,1,0.6852254829152677,0.5078815243501238,0.4159238592700608,0.3999415406156801,1,2,0.7859628681003414,1,1,2,1,0.7880961185228443,2,1,0
16,0,0.7056122708303467,0.5330834746219402,0.3963291471761594,0.38937606585564355,2,1,0.585740094814355,1,2,2,1,0.7343697221522234,1,1,0
17,1,0.6914038077128333,0.508865450650811,0.36571347417935285,0.4078760491342914,1,2,0.7853866157929588,2,2,2,1,0.6567453064412803,1,0,0
18,1,0.6782143322744325,0.4826060621416306,0.32469391727366137,0.44442451223325696,1,2,1.0490043875470292,1,1,1,2,0.9364969353582637,2,0,0
19,1,0.7164734289615902,0.47626059804244236,0.31610005784746176,0.44055238420188303,2,1,1.1022671256960166,2,2,1,2,0.6619376144244598,2,0,0
20,0,0.7094316201990898,0.4624599783311416,0.3580315034926417,0.41319937823900865,2,1,0.9713869146353318,1,2,2,1,0.4988542872538346,1,0,0
21,1,0.7048447037752492,0.45727670082535976,0.36531931210962604,0.36347202852460603,1,2,0.8777041069670304,1,1,1,2,1.1839237982544546,1,1,0
22,0,0.6762280549989554,0.48109757891929045,0.34998540346772167,0.33463221107543384,2,1,0.645704445051706,1,2,1,2,0.9890089456453097,1,0,0
23,1,0.6986750555303406,0.44408853841768137,0.3286081406603616,0.3115336189894067,2,1,0.8640651294904274,1,1,2,1,0.93553550864317,1,1,0
