trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.39777662027155186,0.5030899438797635,0.5443152269465419,0.704946148884308,2,1,1.4241791890885906,1,1,1,2,0.8915147378752408,1,0,0
1,1,0.3486138725569303,0.5029581396768097,0.535102685870231,0.7309907735430375,1,2,0.7143097768621374,1,1,2,1,0.9280977882394836,2,0,0
2,0,0.3656227541396132,0.5060531184192385,0.531346791412123,0.7263285349088071,2,1,0.555420187992695,2,1,1,2,0.6956125514711857,1,0,0
3,1,0.36483231740509736,0.5116703478255488,0.5230592910896901,0.7119698559317835,2,1,0.4365983244947529,2,2,1,2,0.44220477536919134,1,0,0
4,1,0.378046975314526,0.5338523185855609,0.48650958898959606,0.7424203300689656,1,2,0.9644293889955406,2,2,1,2,0.6663628946107565,2,1,0
5,1,0.4174669005202735,0.543777338311591,0.4545868352272495,0.7440818275118537,2,1,0.5940094017400952,2,2,2,1,0.626431911943655,2,0,0
6,0,0.41095416945189234,0.5742512570628593,0.45889421505894545,0.733225002556849,2,1,0.47410476543791447,1,2,2,1,0.7716188555209555,1,1,0
7,1,0.45407392111140654,0.6075619466493969,0.4626698605219432,0.7238200074462,2,1,0.6619880336552342,2,2,2,1,0.8464554510078415,1,1,0
8,1,0.42688550453415797,0.6532983245027553,0.45326468328851677,0.7135639826985225,1,2,0.8142225090564352,2,2,2,1,0.4333952851234244,1,1,0
9,0,0.4219484667737845,0.6243614908721244,0.4791410401396511,0.652622384205177,2,1,0.9876161822462564,2,1,2,1,0.5279635811616572,2,1,0
10,1,0.3899154626268291,0.6266398258700729,0.4790340407914657,0.6906705488529369,2,1,1.9469637535235051,1,1,1,2,1.8427993193654402,2,1,0
11,1,0.39235336565461326,0.5884266631574666,0.46284374270425843,0.6706067901200878,2,1,1.3155716735527676,1,1,1,2,0.7658874344924698,2,0,0
12,0,0.39908761018189853,0.581531177362824,0.38889576549028027,0.6872890273751018,1,2,0.9929569960795561,2,1,1,2,0.9685078231618718,1,1,0
13,1,0.4242562462671132,0.5960729207785505,0.3909977646623723,0.6470883843709605,1,2,0.9822741609714285,1,1,1,2,1.0618487553247178,1,1,0
14,0,0.4236566013263141,0.612219033537802,0.3742474791622201,0.6510999844937088,2,1,1.3849856510719292,1,2,2,1,1.5180652809067396,1,0,0
15,1,0.4451174209529044,0.6060326964038296,0.35255900145940955,0.6145357635861819,2,1,0.9986642682861202,1,1,1,2,0.7448984858992844,1,0,0
16,1,0.47305335941068166,0.5912350917520883,0.3173340159123583,0.6436992931584624,2,1,1.0066101362867812,2,2,2,1,1.4275044818705283,2,1,0
17,1,0.4849690104302492,0.5787243450450505,0.31095749413190843,0.6334817571301476,1,2,1.2201744692010834,2,2,2,1,0.942402041058358,2,0,0
18,0,0.4461790085210309,0.5373508009204171,0.32942476072147564,0.6622444425170145,1,2,0.8895312140125498,1,2,1,2,1.249054045365483,1,1,0
19,0,0.4067019034662409,0.5157169643657298,0.3558404545524463,0.6278205407542248,1,2,1.0442593571406178,2,1,1,2,1.7318671778571115,2,0,0
20,1,0.4080868170155934,0.48613175061458147,0.33183720299521546,0.6382895796966684,2,1,0.9592219974033469,2,2,1,2,1.017412508063444,2,1,0
21,1,0.4311300689662501,0.4911083691497764,0.3300801042524424,0.6134233768517994,1,2,1.0446055908751077,2,2,2,1,0.9081408999236373,1,0,0
22,1,0.4324570636288353,0.4636373703823442,0.2984988014259362,0.6288205269304715,1,2,1.6579621231762758,1,1,1,2,1.233682112756469,1,0,0
23,1,0.42230171096111935,0.4895667414179742,0.2950742913713551,0.6459038891098107,2,1,-1,-1,-1,-1,-1,-1,-1,0,1
24,1,0.5077903102357653,0.48491135000976193,0.2855728307734555,0.5837844875866534,1,2,0.7122845962812789,1,1,2,1,1.5169891490286318,2,0,0
25,1,0.5000102871264775,0.4860910692615295,0.2892533907778158,0.6115144752003273,2,1,0.8349732898936963,2,2,1,2,1.7411478719905062,2,1,0
26,1,0.4909913818120035,0.47953868861206694,0.30016626953449665,0.6062622651054652,2,1,0.9125432301643741,2,2,1,2,0.8373848516248472,2,1,0
27,1,0.5403232712423438,0.5225155600685898,0.25738928135724226,0.6059867136220403,1,2,1.0297920997732035,2,2,1,2,0.9706890655038478,1,0,0
