trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.7078629683995066,0.5147263499864543,0.4612445836133316,0.4557354763973241,1,2,0.5542512504562183,1,1,2,1,0.36850570063324994,1,1,0
1,1,0.7083333228934489,0.49482401745808846,0.43018782426200586,0.4967784989568552,1,2,0.24511001301016222,1,1,2,1,0.36829198349460057,1,1,0
2,0,0.695464152462697,0.5177847029683779,0.4127923795059596,0.5142201734707124,2,1,0.3026449005219547,1,2,1,2,0.3978604137300863,2,1,0
3,1,0.6982770355105965,0.5217334294281599,0.4138645281774998,0.48474703298892363,2,1,0.5550904222727695,1,1,1,2,0.3316594169864402,1,1,0
4,0,0.6973332946521045,0.49718222498965536,0.3832242666477088,0.5143381547981373,2,1,0.29948110203167744,1,2,1,2,0.30914003000543744,2,0,0
5,1,0.7190942630855214,0.4923483918134086,0.3729987902803753,0.4700681649355185,1,2,0.31159626779844984,1,1,1,2,0.2988284799212124,1,1,0
6,1,0.7341548808741292,0.5077885823684777,0.3643558482981022,0.4889635110052345,2,1,0.3785766680048255,1,1,2,1,0.2858783683841466,1,0,0
7,1,0.6951230332961948,0.48726979212265187,0.39785244315783586,0.5106435199477858,2,1,0.29903917845695105,2,2,2,1,0.28892534691294713,1,1,0
8,1,0.6609748863893898,0.4744958242546651,0.41120137288674546,0.5336236625622306,1,2,0.43803048185964144,2,2,1,2,0.3025818117048402,1,0,0
9,1,0.61796965440519,0.4619217883212201,0.39729599418560024,0.5006809622521979,2,1,0.27309790237268317,1,1,2,1,0.30821935589028726,2,1,0
10,0,0.6512871003831705,0.510117687440421,0.3936670282406769,0.5078315493027316,2,1,1.1032655254330166,2,1,1,2,0.9856471433449769,2,1,0
11,1,0.6192219739735518,0.5065877289568239,0.4108444947466733,0.5420032667737359,1,2,0.5782416029996966,1,1,1,2,0.44964033337419096,2,1,0
12,1,0.6079619879639071,0.5339652211637835,0.45413502601882716,0.590682874863194,1,2,0.48467303994493705,1,1,2,1,0.5081309108027199,2,0,0
13,1,0.5554478200793258,0.5409809927432138,0.3925767999486385,0.6030656076712548,1,2,0.43920079449617333,2,2,1,2,0.8732153260543782,1,0,0
14,1,0.5472087015443257,0.5523382332997677,0.3695897721980326,0.6033156482936805,2,1,0.5217448132843856,2,2,1,2,0.6385095342593559,2,1,0
15,1,0.5287568473541,0.5212946305574726,0.3800404888144208,0.5935437998665583,2,1,0.4337534223413968,2,2,2,1,0.5877106608022586,2,0,0
16,1,0.5064097474300526,0.5132451342578128,0.3621351194633189,0.5929153364072866,1,2,0.42283603850501095,1,1,2,1,0.6995713582809913,1,1,0
17,1,0.501326135053153,0.46906825463025204,0.3509358398638245,0.6039904807116745,1,2,0.5026883684149652,1,1,2,1,0.5260780188300487,1,0,0
18,1,0.5383145557527804,0.48209427062554566,0.35367603887566307,0.5946477578538496,1,2,0.5052101099072388,1,1,2,1,0.507308945027944,2,0,0
19,1,0.5303508711365503,0.4935900025223393,0.3557278387231687,0.6038194570211795,1,2,0.4809939658116491,2,2,2,1,0.7391268387073069,2,1,0
20,0,0.5295853934714108,0.5036661637943536,0.37700613512733855,0.589409112116204,2,1,0.6675865358201918,2,1,1,2,0.4777522873473572,2,0,0
21,1,0.49126623871553,0.5625396926247458,0.37427898113681435,0.5442796155183434,1,2,0.6274445407043459,2,2,2,1,0.7949734211952091,2,1,0
22,1,0.4896762859993493,0.5240312264460303,0.37841237255394317,0.5417748588360058,2,1,0.39550107311333704,2,2,1,2,0.5602250670881403,2,1,0
23,1,0.46821726402774355,0.4855122078860665,0.3527413406990827,0.5531760518665818,1,2,0.45658221619851247,2,2,2,1,0.5999637767563399,2,1,0
24,1,0.5536480184830688,0.4918010676401846,0.3539143015453939,0.49356166671836466,2,1,0.48041590321190597,2,2,1,2,0.6052206750200639,2,0,0
25,1,0.5548106771466123,0.5001244204839095,0.35585741923405634,0.4616905490989702,2,1,0.46428599458431563,1,1,2,1,0.711697391020607,2,1,0
26,1,0.5233857944874516,0.4926480278103218,0.36887941821405557,0.42622630577433696,2,1,0.448221891517278,1,1,2,1,0.4848979259177213,1,1,0
27,1,0.5506250487624447,0.493419984381203,0.3779390362848641,0.42971634591317664,1,2,0.4399654068020027,1,1,1,2,0.5246864425453168,1,1,0
28,1,0.5640160331911402,0.4574348196784803,0.3626171597510357,0.4094620788492884,2,1,0.4264327047594634,1,1,2,1,0.6765363937956863,1,0,0
29,0,0.5962350810796784,0.4129725798798334,0.38641309132557844,0.42227934773042175,1,2,0.4582750491272236,1,2,1,2,0.5671156336502463,1,1,0
30,0,0.6092704592000363,0.39144787757657173,0.4112718364158793,0.420689183859027,1,2,0.46881752239005436,2,1,2,1,0.6469021579996479,2,0,0
31,0,0.6419198097813696,0.4000273114215103,0.38345312915796104,0.42059091798900883,2,1,0.46601897494292643,2,1,2,1,0.4680972835585635,1,1,0
32,1,0.6843984370413752,0.3773355246069081,0.38990483870374737,0.41761583449783357,1,2,0.4604753093317413,1,1,2,1,0.465291189601885,1,0,0
33,1,0.7177420499408874,0.40761202355256426,0.3638450128755286,0.42167838147095354,1,2,0.5056574669688416,2,2,1,2,0.617084692962635,2,1,0
34,0,0.6933642200405508,0.44696690010626855,0.38564472857588283,0.4228955402847861,1,2,0.49217608118851786,2,1,2,1,0.48630368963949877,2,1,0
35,0,0.7067387881437148,0.4498871946928485,0.43163014553631907,0.41634472554878243,1,2,0.6679898212687476,1,2,1,2,0.7101352636291267,2,0,0
36,1,0.7225133973617169,0.43484033195768457,0.4406690569650942,0.4232813121113191,1,2,0.435991716951321,1,1,2,1,0.5260393807029686,2,0,0
37,0,0.7146398615444283,0.4611025073361737,0.46031064762249124,0.45641223363282357,2,1,0.8704318716245325,2,1,1,2,0.6434105391526828,1,1,0
38,1,0.7380124804842849,0.44465169185149356,0.4533488040150042,0.45206258911891095,2,1,0.8305325722431007,2,2,2,1,0.560682989263114,1,0,0
39,0,0.7487512388197882,0.43917802855175836,0.423351459063831,0.5167348362314514,2,1,0.4011473712489533,1,2,1,2,0.5445883982984014,2,1,0
40,0,0.716999451220368,0.43731678562864995,0.4501750988952002,0.5057269759992731,2,1,0.510299173808562,1,2,1,2,0.5789944427506271,2,1,0
41,1,0.7331136305345686,0.45297457453388973,0.4683270052556934,0.4742323109708866,1,2,0.45414831607195083,1,1,2,1,0.7468574826652912,1,1,0
42,1,0.7351607532210178,0.41001087049519125,0.4724537538932638,0.46843483399979213,1,2,0.48868084001696843,1,1,2,1,0.800146402277278,1,1,0
43,1,0.6976083308144914,0.390224680515072,0.4655162714742038,0.44861347941585317,2,1,0.4646557735322858,2,2,2,1,0.6721304399015935,2,0,0
44,1,0.6963036810322236,0.3592970102799913,0.47529414061197456,0.45232192925878306,2,1,0.4405486010282402,1,1,1,2,0.5706344199297746,1,0,0
45,1,0.738716631097753,0.34421820897950584,0.46565037073717575,0.445224756771188,1,2,0.27229072775571694,1,1,2,1,0.42098261586124863,2,1,0
46,0,0.7190775702692689,0.3459483423048675,0.443952456104979,0.4569121832279682,2,1,0.43470156574949215,2,1,1,2,0.4714871754631531,1,1,0
47,1,0.7461429182758832,0.30768517930246153,0.45023879772178005,0.433239158920675,1,2,0.4638449765907353,1,1,2,1,0.8312528110745916,1,1,0
48,0,0.7393436955618146,0.3065505736952292,0.4555785577184824,0.46334899468743995,2,1,0.5117722523918928,1,2,1,2,0.7965542639285559,1,0,0
49,1,0.7251417798136462,0.3027647415411636,0.4390475900959645,0.4744995681780963,2,1,0.3811343308816504,1,1,2,1,0.4044551571332704,1,0,0
