trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow
0,1,0.30773225711434304,0.6327136962489259,0.3744853955037865,0.460454052987047,1,2,0.4291276724902673,2,2,2,1,0.3305479595542238,2,0,0
1,1,0.3211650863892177,0.6689495497838582,0.4055195565763335,0.4094919365119276,1,2,0.27280131104362226,2,2,1,2,0.4277206975043555,2,0,0
2,0,0.29130606223872046,0.6971204011769294,0.3897316348591673,0.39033150262861827,2,1,0.3080780166274053,2,1,2,1,0.34119732031786043,2,0,0
3,0,0.27444011216940134,0.6963165270530105,0.3752834136716321,0.41663028984077377,2,1,0.6365645661458075,1,2,1,2,0.43274004529757804,1,0,0
4,0,0.25637471663877687,0.6872123664407854,0.3530015428402242,0.42976223742800645,2,1,0.47484032297961676,2,1,1,2,0.313666070893305,2,1,0
5,1,0.25215145988492216,0.697383645401066,0.3258446045878105,0.4234396864526575,1,2,0.3610694458825492,2,2,1,2,0.47333614869194207,2,0,0
6,1,0.25394594697965533,0.6698730737021292,0.32713215456593964,0.4213246246868865,1,2,0.3609861321956487,1,1,2,1,0.2732559139890327,1,1,0
7,0,0.2752700589372453,0.6532564266149161,0.2622919725702715,0.4069541667379939,2,1,0.3500596628632593,2,1,2,1,0.2608412690124169,2,0,0
8,0,0.2723164349032363,0.6166646413028127,0.27716958091281596,0.427911803923098,1,2,0.4041685822276122,1,2,1,2,0.31495109395973486,1,0,0
9,1,0.2844317674449454,0.6695479814874896,0.2864670775444109,0.4289952270550092,1,2,0.3971017100134304,1,1,2,1,0.32790939093183624,1,0,0
10,1,0.2846220613092324,0.718683909761161,0.3213408093179573,0.4384777980288107,1,2,-1,-1,-1,-1,-1,-1,-1,0,1
11,1,0.3032621811705225,0.7380440089564493,0.36201176306959626,0.45450390034538,1,2,0.366061022446047,1,1,2,1,0.578726755556545,2,0,0
12,1,0.30936173254242044,0.6998685984833695,0.34596477182417096,0.4704315034897203,2,1,0.3603972010223515,1,1,2,1,0.6129759256650686,2,1,0
13,1,0.36234201200006555,0.7011435797984532,0.32480938030879214,0.4716803460033225,2,1,0.5572478229018998,1,1,1,2,0.5779793472615893,2,1,0
14,1,0.41254517209661523,0.7302405897173512,0.316333155602448,0.4467781885043707,2,1,0.3062170424186661,1,1,2,1,0.3641372611104998,2,0,0
15,1,0.40182157811008623,0.7293303260766475,0.3288339499976961,0.43817304212694097,1,2,0.5830267681444639,2,2,2,1,0.38235458365625163,1,1,0
16,1,0.4448074852468769,0.7026266010506905,0.3614246763219209,0.4206627524951172,1,2,0.609270579612712,1,1,1,2,0.4539799038934689,2,1,0
17,1,0.4835191965010202,0.7015250943599334,0.3678720601135835,0.41619942922353803,1,2,0.5289335455618129,1,1,2,1,0.536234662055449,1,1,0
18,1,0.5028344863632376,0.7236000091670155,0.32129688581500515,0.4753989425407303,2,1,0.3817439184781506,2,2,1,2,0.3571434393038544,2,1,0
19,1,0.4870480197378173,0.6905777212395772,0.3278787303992109,0.506900404196405,1,2,0.26408295628380074,2,2,2,1,0.5859771593718506,2,0,0
20,0,0.4863955099749231,0.696858675185529,0.30025981810719427,0.5070753098347128,2,1,0.506222717408491,1,2,1,2,0.5189129616478567,1,0,0
21,1,0.48999492701641706,0.6806521547977789,0.3042387366286811,0.5626577984710723,2,1,0.641869172758561,1,1,2,1,0.6198622848896775,2,1,0
22,1,0.4895128478973192,0.6854553584238489,0.3562384504340016,0.5883329442337889,1,2,0.49759341169828986,1,1,1,2,0.5395877361042949,2,0,0
23,1,0.4841386995884496,0.6341748208647053,0.37226768330727844,0.5663310664999601,2,1,0.7132019895066151,1,1,2,1,0.7259432482860575,1,0,0
24,1,0.48084059389336686,0.6085825485147629,0.3973886515622359,0.567189105419099,2,1,0.568883967880538,2,2,1,2,0.5255877161816898,1,0,0
25,0,0.4696112637261063,0.5880067087041461,0.37915929856934705,0.5802662430197211,2,1,0.3045700877901254,2,1,1,2,0.7144601469281042,1,1,0
26,1,0.4716506866157886,0.6019427554595053,0.41665926661047165,0.5612672333161663,2,1,0.5361299162245814,2,2,1,2,0.5674806152296696,2,1,0
27,0,0.496929717834228,0.5883676236610804,0.4187462241440685,0.586875296655269,1,2,0.4584323563799444,1,2,1,2,0.652424050971149,1,1,0
28,1,0.4926292262065428,0.5843754041229348,0.4258074362641585,0.5478422531795304,1,2,0.5913901341505152,1,1,2,1,0.5214304839346369,1,1,0
29,1,0.46786937064804013,0.6033544396471718,0.38539765396052017,0.5692132884947946,2,1,0.4417222267334182,2,2,1,2,0.3290335219867302,2,1,0
30,1,0.48652629614115,0.6055600435771156,0.40711885996261893,0.5694493648498051,2,1,0.5185552561424629,1,1,2,1,0.40052753260761165,2,0,0
31,1,0.5270963649571193,0.5997811619122486,0.36923169338948325,0.5661678904401501,1,2,0.539517704309219,2,2,2,1,0.3467941285584857,1,0,0
32,1,0.5374557419327607,0.5805895361075366,0.38500282461803387,0.5858112325853742,2,1,0.7896730873544584,1,1,1,2,0.5518079824778397,1,1,0
33,0,0.5310384691857044,0.5864638506634186,0.39049482291671395,0.6333857695308567,2,1,0.40002915979039244,2,1,2,1,0.8153672096041191,2,1,0
34,1,0.5380551325678758,0.6161200343999917,0.3714698476419305,0.5884018664024624,2,1,0.33580638140620067,2,2,1,2,0.5804081223600406,2,1,0
35,0,0.5411762437978027,0.6097197292615109,0.35593238604981003,0.5662586382329939,1,2,0.7780007190331162,2,1,2,1,0.8041509535341902,1,1,0
36,1,0.5265770732798805,0.6347149310804365,0.36888011605210685,0.5664875743299572,2,1,0.29779783209323796,2,2,2,1,0.7610563451071357,1,0,0
37,1,0.530795575406007,0.6684114472777852,0.36322174635001114,0.583338080757725,1,2,0.7934234107233351,1,1,2,1,0.5635443453702464,2,1,0
38,0,0.5233398367925246,0.6579971661463038,0.3307005174323825,0.5864975192120246,2,1,0.43850348091245905,1,2,2,1,0.7951775260721661,1,1,0
39,1,0.5121634417461345,0.6700230636306969,0.31484945779624085,0.6068052771293458,2,1,0.6249012536595728,1,1,2,1,0.7281984532028218,2,0,0
40,1,0.5237570906485292,0.6873130129682271,0.3119415520330251,0.6113812361965695,1,2,0.29119401493790065,2,2,1,2,0.5678265481478775,2,0,0
41,0,0.5263628506006742,0.6793777299825272,0.2839720494854674,0.6189905459503106,1,2,0.5734139986916489,2,1,2,1,0.804841008204221,2,1,0
42,1,0.5100557976472841,0.6669427177945049,0.2587091661736718,0.6679980524089006,2,1,0.29586682608942283,1,1,2,1,0.49248712788448756,2,0,0
43,1,0.5204194458079174,0.6526841162149124,0.26205308301823793,0.6176903001762386,1,2,0.572706737934368,1,1,2,1,0.7773668105437537,2,0,0
44,1,0.5379133917475298,0.6536541813214412,0.27358107066491094,0.6390262821961533,1,2,0.4897504543764626,1,1,1,2,0.398418126643719,2,1,0
45,1,0.5414912153873649,0.6179993213771497,0.2743977601448803,0.6271112872292715,1,2,0.4919341181926029,1,1,2,1,0.7365805346021261,1,1,0
46,0,0.5755102232401952,0.5979985646883259,0.28213576101904797,0.6447486354188572,2,1,0.6996846456195271,1,2,2,1,0.6456883204773476,1,1,0
47,0,0.5707099742936137,0.6236032066105499,0.30336828197871823,0.6298793173649226,1,2,0.563334853707147,2,1,2,1,0.7228355873812689,1,0,0
48,0,0.56223065214136,0.5826280914281878,0.30083835481218046,0.6483675449218509,2,1,0.41901230416397084,2,1,1,2,0.7410357038393158,2,1,0
49,1,0.5849146271047345,0.6005117489397596,0.26727185789833974,0.6784625763155265,1,2,0.3707540582972797,2,2,2,1,0.44735586203842104,2,1,0
