trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.345246550391,0.432312296598,0.559984109954,0.349196822451,1,0,1,1,0.308219728048,0,0,0.299060669781,0,0
2,0.352793808333,0.409387508481,0.557300748286,0.32041385143,1,1,1,0,0.302769028848,0,1,0.215330842379,1,0
3,0.323529901011,0.401829850713,0.5593994424,0.277644566515,0,1,0,1,0.205779365162,1,1,0.577018255933,0,0
4,0.310186661172,0.422596261139,0.580143830926,0.258837706541,1,1,1,0,0.36216948514,0,1,0.277314320937,1,0
5,0.311506960004,0.394485019066,0.627570774612,0.267414821622,0,1,1,0,0.155698255184,1,0,0.334956740339,0,0
6,0.288655909636,0.412585863504,0.610305776224,0.296363215241,1,1,1,0,0.202545833024,0,1,0.165853755721,0,0
7,0.287792692169,0.455940353578,0.60821588021,0.274405244912,0,0,1,0,0.1935286493,0,1,0.127379190808,0,0
8,0.277105357456,0.46584218323,0.573194125231,0.265058998587,1,0,1,1,0.013775112549,0,0,0.379533118046,0,0
9,0.25073419659,0.458817957851,0.568580412876,0.262007538816,0,0,0,1,0.241934432227,0,1,0.319857062907,0,0
10,0.306364246892,0.417882122299,0.597677121168,0.305263452748,0,1,1,0,0.0703012509712,1,0,0.161407950891,1,0
