trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.542700070733,0.602786141584,0.318978975346,0.683049041237,0,1,1,0,0.380293160838,1,0,0.642293547824,1,0
2,0.543398529558,0.604758870978,0.352220588354,0.659156734358,0,0,1,1,0.52250686657,1,0,0.391979688414,0,0
3,0.597468406484,0.587974227202,0.28839943855,0.643522540516,1,1,1,0,0.402759427177,0,1,1.08008871075,1,0
4,0.588791067277,0.592329977667,0.309710665261,0.650035711157,1,0,1,1,1.02172338776,0,1,0.65680397997,0,0
5,0.563376034431,0.575192611737,0.320952500916,0.66102246254,0,1,1,1,0.467531738363,0,1,0.510336456683,0,0
6,0.557685921228,0.558580121424,0.306509331086,0.709695657543,0,1,1,-1,-1,-1,-1,-1,(0,),1
7,0.574543844684,0.576434434881,0.283727806075,0.715480282254,0,0,1,1,1.28899576761,1,1,0.393970156264,1,0
8,0.619668038993,0.544221122448,0.282166176578,0.693874226961,1,1,0,1,0.362060487402,0,0,1.03148042329,1,0
9,0.608903789625,0.585757273216,0.28246719167,0.681008267308,1,0,1,1,0.365083016153,0,0,0.466533485833,1,0
10,0.56958200853,0.568167866744,0.25122470498,0.709122347587,0,1,1,1,0.383944766781,0,0,0.440113149373,1,0
11,0.570586381261,0.538021371621,0.297577605018,0.717227594841,1,1,0,0,0.789500629228,1,1,0.741706157561,1,0
