trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.534975648376,0.55805304272,0.377579598891,0.596191185387,1,1,1,0,0.869855121899,0,0,1.12115757588,1,0
2,0.576268304972,0.564036184953,0.341897784322,0.55850203018,1,1,0,0,0.358857275676,1,0,0.828685531962,1,0
3,0.570064397022,0.555650920041,0.380250739446,0.577838322006,0,0,1,0,0.30083841843,0,0,0.391976841238,1,0
4,0.576637298744,0.585045242819,0.357174780336,0.595317796795,0,1,1,1,0.248052922239,0,0,0.485853141692,1,0
5,0.584003292297,0.606687453175,0.371259903582,0.603876152124,1,1,0,0,0.21937946471,1,0,0.363761306574,0,0
6,0.56839758556,0.65066451063,0.378522531345,0.622068351064,1,0,0,0,0.265058553453,0,0,0.518913240672,0,0
7,0.568013968093,0.699761662455,0.362402251689,0.601326943931,1,1,1,1,0.385663422166,1,1,0.164823856664,0,0
8,0.583024185836,0.744206658459,0.384122832419,0.553453385739,0,1,0,1,0.271529543873,1,1,0.634595664977,1,0
9,0.557252685759,0.749009198417,0.387003893677,0.542878582194,1,0,0,0,0.221451739247,0,0,0.573862777089,1,0
10,0.62667214754,0.702814155467,0.403346081772,0.499580387038,1,1,0,0,0.219331166979,1,0,0.531754098138,0,0
11,0.62887070785,0.708612893673,0.389995697138,0.526467281724,1,1,0,1,0.238560908722,0,0,0.351025798535,1,0
12,0.64484755669,0.725606988453,0.383385410897,0.523235400314,1,1,0,1,0.25769707361,0,0,0.244896665494,1,0
13,0.603584443469,0.680525397534,0.368777002154,0.531760786261,1,1,1,1,0.351467722777,1,1,0.31739397516,1,0
14,0.609627005038,0.682271374316,0.37094058947,0.564106923212,0,1,1,0,0.250859020432,1,1,0.269850895847,1,0
15,0.662636621717,0.656117254917,0.408911882884,0.608661451793,1,1,1,1,0.285868838455,1,1,0.235682967654,1,0
16,0.68467108749,0.625103486539,0.339518882432,0.629701640486,1,0,1,0,0.20635688703,1,1,0.254810076718,0,0
17,0.645981244193,0.624371786413,0.301288652168,0.640109902627,1,0,1,1,0.212186121345,0,1,0.244606577246,0,0
18,0.62963084647,0.657830355555,0.297576575301,0.664656627409,0,1,1,1,0.265911310272,0,0,0.27171216967,1,0
19,0.603727589555,0.719444680663,0.28981184428,0.640094190936,1,0,1,1,0.319770525404,0,0,0.272249481931,1,0
20,0.559272526457,0.714231427515,0.352340895677,0.630148027714,1,0,1,1,0.272221408875,0,0,0.355352067822,1,0
21,0.530010798345,0.713657902193,0.336467660148,0.666247417592,1,0,1,1,0.23811898448,0,0,0.331849486157,0,0
22,0.532188385421,0.740209374835,0.296568308586,0.6918964983,1,0,1,1,0.225201454366,0,1,0.278996373142,0,0
23,0.545458762132,0.720203430912,0.284408333395,0.693285053092,0,0,1,1,0.273689961769,1,1,0.252812663665,1,0
24,0.549541290978,0.703148247755,0.256505520716,0.719579578924,1,1,0,1,0.402169473721,0,0,0.466675923732,0,0
25,0.572657818409,0.69093934598,0.269058792378,0.701138444044,1,1,1,1,0.309407643418,1,1,0.280580538731,1,0
26,0.580818583398,0.699377936457,0.272575797747,0.678168309978,0,1,1,0,0.237993712239,1,1,0.291766595176,1,0
27,0.533994639329,0.712229152074,0.286533998925,0.664614410627,0,1,1,0,0.307745597737,1,1,0.494890552813,1,0
28,0.511511113189,0.688900707878,0.289326617425,0.630547431843,0,0,1,1,0.300410077925,1,1,0.244812748186,0,0
29,0.52654213338,0.704623125988,0.266001701292,0.622407860402,1,0,1,1,0.255516431039,0,0,0.279926406331,1,0
30,0.517931648007,0.713803344271,0.250886249289,0.661487618475,1,0,1,1,0.261292537849,0,0,0.192403068717,0,0
31,0.46076365602,0.646216683327,0.266202276939,0.645109224587,0,0,1,0,0.240394411348,0,1,0.262140766757,0,0
32,0.483630636874,0.655988407185,0.25819614975,0.647679184775,0,0,1,1,0.270230938621,1,1,0.233322114173,1,0
33,0.495293448382,0.631381486139,0.253580132473,0.664879112912,1,0,0,0,0.281329153567,0,1,0.447117153694,1,0
34,0.470936499953,0.636556936599,0.279623182237,0.658311129568,1,1,1,1,0.273861116855,1,1,0.24500533539,1,0
35,0.444661035538,0.610703671459,0.269804336805,0.661545302043,0,1,1,0,0.218341969069,1,1,0.250735861217,1,0
36,0.47500570857,0.663665826094,0.296675707305,0.719232678453,1,0,1,0,0.288104721556,1,1,0.437929717745,1,0
37,0.491127486365,0.666175990422,0.301249574409,0.729362114545,1,0,1,0,0.256761908787,1,1,0.217111584362,1,0
38,0.484349274407,0.680186884999,0.28811112588,0.738459155809,1,1,1,1,0.238502347722,1,1,0.254871656326,0,0
39,0.490833048005,0.706775413412,0.26003600217,0.670806555122,0,0,1,1,0.228270473333,1,0,0.255358255969,0,0
40,0.471748219655,0.747407661527,0.268089226996,0.676154015943,0,0,0,0,0.196713641241,1,1,0.253189084109,1,0
41,0.490756402123,0.704206492125,0.253119697652,0.711117945911,1,1,1,1,0.274504382264,1,1,0.245622338908,1,0
42,0.493472881758,0.716465690165,0.260870846355,0.703423112227,1,0,1,0,0.280303128637,1,1,0.502094159446,1,0
43,0.489783462703,0.692324405574,0.259972875608,0.719795227531,0,1,1,0,0.238214976221,1,1,0.244024287721,1,0
44,0.45385430512,0.645252845025,0.254520541322,0.66016943671,1,0,1,0,0.225326122885,1,1,0.223144876592,1,0
45,0.430638030306,0.667217581944,0.265723486791,0.666412968592,1,1,1,1,0.263120305121,1,1,0.260881101551,1,0
46,0.414554872166,0.672121556038,0.279819496513,0.669348572985,0,1,0,0,0.268952859905,0,0,0.376103188103,0,0
47,0.392604328654,0.656377237332,0.278908714345,0.684330811739,1,1,1,1,0.277448732713,1,1,0.26989587311,1,0
48,0.387891942368,0.621484889251,0.288641986821,0.635388021571,1,1,1,1,0.277893373702,1,1,0.315713214109,1,0
49,0.411008035575,0.612065322344,0.30106901307,0.65279627622,0,0,0,1,0.294393991762,0,0,0.262885759263,1,0
50,0.382102111293,0.609667286097,0.284430774909,0.685796281482,1,0,0,0,0.238889031434,0,0,0.228687343127,0,0
51,0.463030711533,0.641033626962,0.276227203437,0.714627968408,1,0,0,0,0.244734868094,0,1,0.269143032222,1,0
52,0.442785918813,0.645246566751,0.253205976083,0.719907361428,0,0,1,1,0.277162870515,1,1,0.242962039492,0,0
53,0.443758355054,0.658900409267,0.292340492894,0.734048896429,0,0,1,0,0.325645642563,0,1,0.25143195227,1,0
54,0.436452622947,0.670693356628,0.258218695279,0.719614317998,1,1,1,1,0.240805847648,1,1,0.241271920755,1,0
55,0.450483632189,0.659218220973,0.262985288984,0.688805235022,0,1,1,0,0.259919372975,1,1,0.399050949579,1,0
56,0.440568869,0.656077388587,0.251265832736,0.698334855247,0,0,1,1,0.260441592195,1,1,0.431608148431,1,0
57,0.41814931799,0.666090973506,0.265167478189,0.679246494424,0,0,1,1,0.43430648231,1,1,0.328170708332,1,0
58,0.434409742822,0.691201731611,0.271134524766,0.737874069334,0,1,0,0,0.181549662897,0,1,0.293950558216,1,0
59,0.4243923979,0.70248755122,0.254015406374,0.736963581541,1,1,1,1,0.293986479654,1,1,0.238467935589,1,0
60,0.458427027788,0.713210283947,0.283960554965,0.711839264552,0,0,1,1,0.275843738727,1,1,0.36964970561,1,0
61,0.433160088844,0.708263596064,0.27068913816,0.739183943853,0,0,1,1,0.385692098944,1,1,0.460848802443,1,0
62,0.437404043169,0.687474437127,0.304981635708,0.698679225553,0,0,0,1,0.298277431225,0,1,0.285372579265,1,0
63,0.43056438603,0.715254374029,0.292150651412,0.692105892869,1,1,0,1,0.250759708221,0,1,0.339261074896,1,0
64,0.403058823133,0.728442591422,0.27354379467,0.692327901828,0,1,0,0,0.211285670516,0,1,0.262389198213,1,0
65,0.408587879646,0.73748839261,0.287434802759,0.68368289631,1,0,1,0,0.206432050375,1,1,0.214807480715,0,0
66,0.385625164653,0.720796411617,0.266396497616,0.687119206199,1,1,1,0,0.236171982184,0,1,0.226001385541,1,0
67,0.391800170231,0.714658148701,0.304769698255,0.740566958362,0,0,1,0,0.22598267017,0,1,0.255735883856,0,0
68,0.369863502735,0.728244439311,0.262732444723,0.725467657144,1,0,1,0,0.23977740783,1,1,0.304215335435,1,0
69,0.367143933798,0.747191120753,0.281398045207,0.717795640561,1,0,1,0,0.261600737748,1,1,0.272698650833,1,0
