trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.592122389376,0.473004553102,0.50914123168,0.296558986963,1,1,1,0,0.402162530922,0,1,0.424254215109,0,0
2,0.587530681659,0.413182100116,0.489644750762,0.308238249044,0,0,1,0,0.400399361866,0,0,0.41390129453,1,0
3,0.58464706658,0.4383690788,0.443852050256,0.29147581795,1,1,1,1,0.310012270642,1,1,0.616838702179,0,0
4,0.589228451472,0.43241380859,0.400146568932,0.287248338462,0,0,1,1,0.265052214375,1,0,0.569165822714,1,0
5,0.56595434328,0.439936546688,0.401020659366,0.277288791404,0,1,1,0,0.353417139959,1,0,0.305505488584,0,0
6,0.546993947625,0.417025789358,0.457522380629,0.273020983427,0,1,1,1,0.300315595488,0,0,0.383070739574,1,0
7,0.555909976813,0.420477339483,0.442858140898,0.299147586816,1,0,1,1,0.305893983461,0,0,0.383313435674,1,0
8,0.592976386991,0.423098356619,0.403558850664,0.307754304124,0,0,0,0,0.364835327376,1,1,0.517007593309,1,0
9,0.566689718956,0.451470701726,0.380101437853,0.315098121073,0,1,1,1,0.338518799137,0,0,0.378639422721,0,0
10,0.603636849185,0.452817274722,0.357517022202,0.311227963754,1,1,1,-1,-1,-1,-1,-1,(0,),1
11,0.597355229213,0.439129721819,0.370375874279,0.304726508231,1,0,1,0,0.365409768518,1,1,0.224858238612,1,0
