trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.458963100989,0.5151436417040001,0.644619383183,0.364540732459,0,1,0,1,0.224441301068,1,1,0.859604574518,0,0
2,0.483000804325,0.525397140221,0.661003704455,0.329377901084,0,0,0,1,0.212111799555,0,1,0.444577766267,0,0
3,0.498637469912,0.494071284296,0.671710722139,0.328712023685,0,1,0,0,0.114191197379,0,0,0.365347776766,0,0
4,0.501294925721,0.5116420262420001,0.699795590358,0.348750816128,0,1,1,0,0.251009573211,1,0,0.419427635833,1,0
5,0.479499217135,0.546308218988,0.659845315492,0.34472592545599995,1,0,1,0,0.05701907699450001,1,0,0.21749035404,1,0
6,0.474964447098,0.516795600939,0.660790962703,0.32291218526,0,0,1,1,0.238983441732,1,0,0.252872053915,0,0
7,0.469986816993,0.4898131971800001,0.689358314788,0.30461955684500003,0,1,0,1,0.218336469667,1,1,0.245587852641,0,0
8,0.49149133323,0.509688048758,0.660181530338,0.35119009887,0,0,1,0,0.2884566042,0,1,0.222290845228,1,0
9,0.465392779932,0.540979218532,0.69509500787,0.374249886688,0,0,0,0,0.19050823083700005,1,1,0.281710922468,0,0
10,0.440258066256,0.56832264398,0.724620103891,0.356790981589,1,1,1,0,0.148579473591,0,0,0.4317215177800001,1,0
11,0.419872350845,0.587741083073,0.745173218788,0.383490489172,0,1,1,0,0.0400499760626,1,0,0.17646657526299994,1,0
12,0.40670653279,0.5507064881139999,0.741685186816,0.376965593767,1,0,1,1,0.037943591889,0,0,0.1824289284,0,0
13,0.41889420544,0.5308611186869999,0.702398282976,0.390081432573,0,1,0,0,0.0705536065416,0,1,0.249720929755,0,0
14,0.353449380035,0.544978362915,0.705760818797,0.390737909893,0,0,1,1,0.0632220131333,1,0,0.338378633573,0,0
15,0.355069797886,0.529160422417,0.683426871015,0.446223717234,1,1,0,0,0.16797161060199994,1,1,0.288399552522,0,0
16,0.349030534146,0.500153044632,0.708162636647,0.42614931375,0,1,0,1,0.835371496982,1,0,0.404088884703,1,0
17,0.354172267765,0.483394999413,0.7064627346369999,0.436171450293,0,0,0,0,0.233654996127,1,0,0.244858858979,1,0
18,0.35582730660800005,0.483638168489,0.716670816913,0.467672526792,1,0,0,1,0.183749569094,1,0,0.285593757037,1,0
19,0.35323460904200005,0.502583498811,0.684273255924,0.472007138307,1,1,1,0,0.520471892842,0,0,0.209113718785,1,0
20,0.365768273409,0.537433084466,0.697696565105,0.4727666646580001,1,0,1,1,0.233269519975,0,0,0.284473853729,1,0
21,0.367006624409,0.529395083794,0.702273341473,0.479056500849,1,0,0,0,0.218005328446,0,1,0.68251556243,1,0
22,0.371352127585,0.526596307875,0.688825191295,0.489417755053,0,1,1,1,0.157550774484,0,1,0.123416665007,0,0
23,0.357308505731,0.5007772114150001,0.713214583188,0.492278769285,1,0,1,1,0.232963735056,0,0,0.252057633666,0,0
24,0.31147318140299995,0.476887962739,0.7486465598370001,0.508167218712,1,0,1,0,0.436304367381,1,0,0.204920269526,0,0
25,0.27582000210700003,0.466048012118,0.7179124755040001,0.49400233226,1,1,1,1,0.0477175404626,1,1,0.237548093961,0,0
26,0.314037700101,0.470674380649,0.7376806521879999,0.472598852415,1,0,1,0,0.0750440867596,1,0,0.23292841735,1,0
27,0.32238726204,0.452431218567,0.748530762335,0.501271780729,0,0,1,1,0.0197543698869,1,0,0.23611425549400006,1,0
28,0.351787351435,0.441617194906,0.7456197582340001,0.467200429172,1,1,1,1,0.223021650055,1,0,0.148927217152,1,0
29,0.325154877851,0.444406085659,0.739984040994,0.486516043392,1,0,1,1,0.0477697623692,0,1,0.136112625446,0,0
30,0.360181197236,0.428505381905,0.738541762781,0.480682707562,0,1,1,0,0.0189622873318,1,0,0.23544623769900005,1,0
31,0.363176125953,0.484371379473,0.734558818429,0.488728655236,1,0,1,0,0.046277061059800007,1,0,0.190742776624,1,0
32,0.3906394278900001,0.502410226424,0.742081403231,0.4646720684440001,0,1,1,0,0.254901161741,1,0,0.0474153778723,1,0
33,0.384233877587,0.5179949361680001,0.719149631391,0.43122510212,1,0,0,1,0.132817815579,1,0,0.245373229662,1,0
34,0.375449044875,0.534926825923,0.70676452013,0.403121215073,1,0,1,1,0.0402298850577,0,0,0.17399252472100002,1,0
35,0.392449709343,0.552769979562,0.7132333771070001,0.38389612787,0,0,0,0,0.203551331115,1,0,0.353343379259,0,0
36,0.42222206217,0.58379736183,0.7107568987630001,0.389239566402,0,1,0,1,0.209607261079,1,1,0.210095068018,1,0
37,0.393126017536,0.555497968098,0.709974225741,0.403827044265,1,1,1,1,0.170328237321,1,1,0.021453242075,0,0
38,0.387604367901,0.513620756933,0.7119775396410001,0.384669439199,0,0,1,0,0.250930787561,0,0,0.0514775177148,1,0
39,0.371068033002,0.516276671701,0.6803542805439999,0.389419872144,0,0,1,0,0.00891243805063,0,0,0.022649214287,0,0
40,0.375054817748,0.52142344613,0.711013514013,0.39966812498,0,1,1,0,0.502748441946,1,1,0.0927234659894,1,0
41,0.35403398646799994,0.547972890403,0.7044713078389999,0.432049272708,1,1,1,1,0.010274131803299998,1,1,0.08268538927680001,1,0
42,0.362645351722,0.542902194,0.698922799864,0.391359986355,1,0,1,0,0.0614543166989,1,1,0.125909732775,1,0
43,0.390460661386,0.5094242321670001,0.7195908265459999,0.423269137804,1,1,1,1,0.195398978383,1,1,0.0785450675048,1,0
44,0.383809881128,0.5179373073129999,0.7203169364759999,0.403747714435,0,1,0,0,0.137362328868,0,0,0.425885040567,1,0
45,0.330643952125,0.5014585938130001,0.740750640236,0.385885458584,1,0,1,1,0.0661213854441,0,0,0.303937833593,1,0
46,0.354602145106,0.517553775116,0.743758431918,0.390821524198,1,0,1,1,0.634745800061,0,0,0.168816518785,0,0
47,0.366998221512,0.515665348814,0.730264574147,0.396470770958,1,1,1,1,0.00639341025953,1,0,0.228152376882,1,0
48,0.366872119149,0.49647926204,0.697338735626,0.35414067014600004,1,0,0,0,0.0363440318815,0,1,0.252678561187,1,0
49,0.37458855729,0.484141082509,0.7278756995710001,0.3487461608,1,1,1,0,0.17293903077300002,0,1,0.07746802842119999,0,0
50,0.337281748082,0.468644066372,0.736542548997,0.391699266734,0,0,1,1,0.0242913366574,1,1,0.222061431073,1,0
51,0.357537810795,0.512514765655,0.7475956934610001,0.381343720858,1,1,1,1,0.115599075823,1,1,0.235995624227,1,0
52,0.35341398287000003,0.482372936905,0.746334313407,0.38228375834,1,0,0,0,0.158836399333,0,0,0.231466505835,0,0
53,0.367244269992,0.45206275251,0.6975787792389999,0.380796638161,0,0,1,0,0.178288606629,0,1,0.202736609005,0,0
54,0.360879657396,0.463880418832,0.729960258364,0.371391720218,0,0,1,1,0.133516321308,1,1,0.13409710135199998,1,0
55,0.369172058958,0.464466131654,0.7081911060799999,0.346080897404,1,0,1,0,0.294230294381,1,1,0.21475670327,0,0
56,0.352948849054,0.476117009747,0.699658696829,0.313085418061,1,1,0,0,0.196305164294,1,1,0.378154821954,1,0
57,0.34556336974600005,0.4878112631600001,0.68013000267,0.320885408638,1,1,1,1,0.0983939198004,1,1,0.122842827759,0,0
58,0.323827582625,0.477441857457,0.6771344781399999,0.35036536338200003,0,1,1,1,0.197742021368,0,1,0.203500920374,1,0
59,0.305403353252,0.451084976134,0.665676984499,0.330191920404,1,0,0,1,0.0943716255742,1,0,0.25751829426999995,1,0
60,0.28400538347300003,0.459234897014,0.669679901321,0.340729962378,0,0,1,1,0.0417639412872,1,0,0.231580005469,1,0
61,0.317481521358,0.437479243924,0.665898063643,0.359447647765,1,0,1,0,0.0183540379608,1,0,0.189360254481,1,0
62,0.329031670887,0.424023154682,0.653358876751,0.331426289657,1,1,1,1,0.173626367655,1,0,0.142120257692,1,0
63,0.314192706222,0.432293447226,0.618699321741,0.300699908286,1,0,1,0,0.219650771284,1,0,0.052131649916199986,1,0
64,0.287627710805,0.394964649639,0.595523046835,0.32845154468000004,0,0,1,1,0.5375780385450001,1,0,0.250208132973,0,0
65,0.293579559838,0.34928944539800005,0.570549823865,0.372154198563,0,0,0,0,0.175807009568,1,1,0.360253575088,1,0
66,0.258808439833,0.359174644252,0.598841917304,0.402017236274,0,0,1,1,0.0779537223352,1,1,0.134296631295,1,0
67,0.283311706018,0.369409045116,0.574299030153,0.384539703437,0,1,1,0,0.0704539925005,1,1,0.22032724118,0,0
68,0.262162334264,0.390130351959,0.573362858827,0.410317052357,1,0,0,1,0.07383181406839999,1,0,0.284935700646,0,0
69,0.29132851765900003,0.425424884247,0.623035529293,0.452296974589,0,1,1,0,0.418560993677,1,1,0.197755906961,0,0
70,0.257093044112,0.442995238822,0.605688324345,0.4036208742,1,0,0,1,0.232486795102,1,1,0.390450515065,0,0
71,0.258606702525,0.4494673432370001,0.630703448694,0.396953545074,1,0,1,1,0.22529405763,0,0,0.108569041284,1,0
72,0.309139364877,0.414694254733,0.612710770889,0.421229845496,0,0,1,0,0.159348355131,0,0,0.183832580795,1,0
73,0.292795740717,0.410200846169,0.6359127184260001,0.440917272855,0,0,0,0,0.07207619206289999,1,0,0.323186284897,1,0
74,0.257264051664,0.36993015847,0.644222460413,0.490820290024,0,0,1,1,0.350070907085,1,0,0.0652921740189,1,0
