trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.404267231834,0.571797205103,0.619068848259,0.592506551538,0,1,1,1,0.874529550336,0,1,0.364005786063,0,0
2,0.406520865645,0.56792049643,0.655254529652,0.604219042425,0,1,0,1,0.468888742654,1,1,0.45871181615,0,0
3,0.405218091959,0.558909503959,0.644347822768,0.581618241492,0,0,1,0,0.280961232654,0,0,0.340069753935,0,0
4,0.352605352833,0.511241406861,0.712413923697,0.544025889032,1,1,1,1,0.260847962502,1,0,0.277303890258,0,0
5,0.34695297142,0.516749877741,0.73869130948,0.527627587362,1,1,0,0,0.286043054974,1,1,0.323946476502,0,0
6,0.320694979323,0.495405358416,0.748236206012,0.538418996377,1,1,0,0,0.527388713072,1,0,0.277264950247,1,0
7,0.33173644111,0.506791513181,0.726881056049,0.530749770699,0,1,0,0,0.267390789872,0,0,0.206508837873,0,0
8,0.317620894764,0.503382333109,0.734285169012,0.570663675785,1,1,0,1,0.407181805778,0,1,0.245196191244,1,0
9,0.315396364159,0.487444589725,0.709153980095,0.592210029118,0,0,0,0,0.371255570837,1,0,0.225112503426,1,0
10,0.348249097181,0.536197686417,0.65292312212,0.584501491596,0,1,0,0,0.289947621158,0,1,0.218420255084,1,0
