trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.725528398636,0.620576501752,0.654809297084,0.360409165392,1,0,0,1,0.636278840915,1,1,1.02625464677,0,0
2,0.739060831169,0.590086323293,0.6568624733990001,0.314304618372,0,1,1,0,0.322645146003,1,0,0.555153443402,0,0
3,0.7294134618000001,0.6137715742600001,0.703390760096,0.345029702995,1,1,1,0,0.2701201557,0,0,0.569208988812,1,0
4,0.720752851853,0.5914138542399999,0.699386216431,0.356801541775,1,0,1,1,0.249488270443,0,0,0.460663761759,1,0
5,0.640071741303,0.582395360931,0.676919780193,0.36810341903099997,1,0,1,1,0.244838708217,0,0,0.258627710522,1,0
6,0.668868207307,0.576688379348,0.686761000268,0.348432999843,1,0,1,1,0.346785559582,0,0,0.437899531663,0,0
7,0.638885036423,0.6086636824889999,0.680890118994,0.320982256712,1,1,1,0,0.326227026505,0,1,0.45997672653000005,0,0
8,0.6644137551870001,0.608613832285,0.705844674331,0.334206176544,0,0,1,0,0.332260016874,0,0,0.559370740933,0,0
9,0.699012458115,0.608891004049,0.673732118764,0.32673950681999997,1,1,0,1,0.260982526786,0,0,0.565435124827,1,0
10,0.7032738963580001,0.56882322365,0.6817434586769999,0.300183055555,1,0,0,1,0.25904276915,1,1,0.8142191539749999,0,0
11,0.687490972752,0.559063726123,0.655901247883,0.29792047181,0,1,1,1,0.283856634222,0,0,0.505649778057,0,0
12,0.652003255335,0.544423811795,0.6663251484089999,0.32467291181200003,0,1,1,0,0.276593561007,1,0,0.50112126202,1,0
13,0.629468042885,0.48049701608499995,0.6212953617,0.279361875195,0,0,0,1,0.24262033304299999,0,0,0.688479934557,1,0
14,0.626541745927,0.49806247208000004,0.617158943402,0.30281808885899997,1,1,0,1,0.259383268156,0,0,0.603849027329,1,0
15,0.57800432765,0.534761524315,0.598406508411,0.339438882584,0,1,1,0,0.302808664009,1,0,0.513953365522,1,0
16,0.57530405372,0.508902845407,0.587210705705,0.37295921572499996,1,1,0,1,0.324853559769,0,0,0.33867576676399996,1,0
17,0.586011555115,0.524920371488,0.615599049755,0.380548111951,0,0,1,1,0.42428047700099997,1,0,0.454104326118,0,0
18,0.5825934928050001,0.512152015679,0.607192119394,0.392365976678,0,0,1,0,0.23026516963799998,0,0,0.233390334718,0,0
19,0.573502092034,0.531323243519,0.573206988389,0.384547969032,1,0,0,0,0.500255223324,0,1,0.5994273700230001,1,0
20,0.5580316637430001,0.513274497469,0.588560590423,0.346557627373,1,1,1,0,0.549036233864,0,1,0.36827080538,0,0
21,0.58951488913,0.481867239662,0.594526206184,0.383336644472,0,0,1,1,0.259117932495,1,1,0.267583619221,1,0
22,0.5543267501560001,0.49720164829499996,0.649626064845,0.36243900130999995,1,1,1,1,0.478401103603,1,0,0.327026052099,1,0
23,0.564007880519,0.53608699937,0.629015736251,0.38121189925800003,0,1,0,0,0.252470957216,0,1,0.671609536991,0,0
24,0.5677786931059999,0.562362276988,0.623219540231,0.400446842869,0,1,0,0,0.5065704535610001,0,1,0.821814274093,1,0
25,0.59693695263,0.5870188965559999,0.650722967778,0.38982179326399996,1,0,1,1,0.6301715927839999,0,1,0.37744616689599997,0,0
26,0.613194864792,0.558439365509,0.631711552296,0.39934328846100003,1,0,1,0,0.953675230961,1,0,0.317001556092,1,0
27,0.597043667757,0.553875526299,0.604879980354,0.429601790019,1,1,0,1,0.266523484017,0,0,0.493664696019,0,0
28,0.593742477494,0.6014487901309999,0.610089415506,0.415312455422,0,0,1,1,0.28584016167599996,1,1,0.48370751497599995,0,0
29,0.587686418806,0.580642972994,0.639299471669,0.409919814002,0,1,1,0,0.20928463513300002,1,0,0.27372709065,0,0
30,0.5877292285710001,0.584369827631,0.6306905617199999,0.409736128366,1,1,1,0,0.19386377322999998,0,1,0.30367289154,1,0
31,0.569779485236,0.587881173688,0.664416886846,0.433268013012,1,0,1,1,0.247813244747,0,1,0.277596040793,1,0
32,0.592010236706,0.59596655697,0.655740872726,0.44087732033,0,1,0,1,0.219131033254,1,0,0.539616365082,1,0
33,0.601461775286,0.570734840344,0.647173251104,0.432614570162,0,1,1,0,0.238494197481,1,0,0.438947894294,0,0
34,0.596355280907,0.5735369315150001,0.63180471283,0.425041977858,1,0,0,1,0.14849952532400001,1,1,0.506251084812,0,0
35,0.623505487701,0.554186024017,0.66014238138,0.386605116269,0,0,0,0,0.23716540614599999,1,0,0.50161420074,0,0
36,0.6336537723219999,0.507638608271,0.622920023453,0.365077116448,1,0,1,1,0.200564479735,0,1,0.278328958867,0,0
37,0.666630967417,0.462141608908,0.604395189081,0.3675942089,1,1,1,1,0.278498302788,1,0,0.324352772667,1,0
38,0.626695513287,0.44774931172399995,0.577206519075,0.350089723508,1,1,0,1,0.145759534651,0,0,0.287541449264,1,0
39,0.628852816038,0.4345064337100001,0.609447266064,0.32793094594,0,0,1,1,0.274380317467,1,0,0.285506001748,0,0
40,0.597388520337,0.43495755778800005,0.581068202366,0.35029409986500004,0,1,1,1,0.33104502707,0,0,0.238128644026,0,0
41,0.646959293482,0.453621722682,0.537188936675,0.36495225470799997,0,1,1,1,0.7876738152339999,0,1,0.281743608475,1,0
42,0.6944505440600001,0.498920477166,0.54471318182,0.34811027431900005,1,1,1,0,0.53248641249,0,1,0.293013582228,0,0
43,0.743908828776,0.49714321444700005,0.5708705658600001,0.346026048011,1,0,1,1,0.445186150022,0,0,0.46172721743199996,1,0
44,0.719476605587,0.5436738850199999,0.58514709476,0.35882495514,1,1,0,0,1.23528088904,1,1,0.40945579021899997,0,0
45,0.733888203565,0.551044649886,0.587438321706,0.318717533968,0,0,1,0,0.20166023451600001,0,0,0.287476247327,1,0
46,0.733836573893,0.5248118298800001,0.5800803045390001,0.294374120911,0,1,1,1,0.268963425034,0,1,0.41102184415799997,1,0
47,0.7032937546610001,0.48842993036300003,0.606481236926,0.261166322769,1,1,1,0,0.25891991179699997,0,0,0.22741650906999997,0,0
48,0.705455145612,0.42910187708400005,0.607409325579,0.281495573825,1,1,1,1,0.238217692968,1,0,0.262752336781,1,0
49,0.695900086772,0.423697391528,0.594615094863,0.25336859971700004,0,0,1,1,0.26279942706799997,1,1,0.338001711551,1,0
50,0.6786183939210001,0.423076264957,0.607762720756,0.272530211013,0,1,0,0,0.127471296809,0,0,0.341221660929,0,0
51,0.691450904305,0.424988409875,0.6381107471899999,0.286210436838,1,0,0,0,0.330726865764,0,1,0.315209106538,0,0
52,0.680143144794,0.527582046051,0.610035487673,0.259641708784,0,1,1,0,0.230101259212,1,0,0.25185485928,1,0
53,0.706357381988,0.557297239295,0.588596190414,0.258941118662,1,0,1,1,0.324065703026,0,1,0.2604947197,1,0
54,0.698572091947,0.589326035443,0.564441964011,0.26409672804699996,1,0,1,1,0.19396278358,0,1,0.277115780227,1,0
55,0.7001920025149999,0.597834836135,0.536239748958,0.265003608675,0,0,1,1,0.239895435412,1,1,0.389695377152,1,0
56,0.70482220176,0.587862016797,0.53727988569,0.25782489519,0,1,0,1,0.280618271333,1,1,0.494354447994,0,0
