trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.355067996377,0.358422786623,0.387796465928,0.627836577313,0,0,1,0,0.354037319578,0,1,0.384221526736,0,0
2,0.351674567908,0.344137841768,0.419506654374,0.599500697943,1,1,1,0,0.395166373258,0,0,0.880884160551,0,0
3,0.343293484571,0.333170198705,0.44222034432,0.654325685431,0,1,0,0,0.398707796928,0,1,0.385615215203,0,0
4,0.320636654987,0.345884190387,0.456776450707,0.63654941832,0,1,1,0,0.332626376784,1,1,0.487431447552,0,0
5,0.320754050905,0.299635012937,0.514485613141,0.646987664189,0,0,1,1,0.29055159515,1,0,0.336021096404,0,0
6,0.335662681378,0.363236978712,0.503173957207,0.649373818878,1,0,1,0,0.285682892255,1,0,0.355187406876,1,0
7,0.343293316938,0.40982687069,0.450740522064,0.662024277999,1,1,1,0,0.310163753112,0,0,0.427737690745,1,0
8,0.327492243573,0.425248595405,0.495282461171,0.657265843242,0,0,1,1,0.326714445097,1,0,0.308265656281,1,0
9,0.307069798562,0.456842812379,0.472961175395,0.676097010847,0,0,1,0,0.492614688758,0,0,0.338183924617,1,0
10,0.303658166654,0.427262381107,0.467854169139,0.663802839616,1,0,0,0,0.325152016788,0,1,0.352071304205,0,0
