trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.286740583873,0.645624802561,0.522062580472,0.432380228817,1,1,1,1,0.274377322814,1,1,0.685471952359,0,0
2,0.279827151279,0.655625374807,0.524078627817,0.437858468427,1,1,0,1,0.232387363892,0,0,0.686204567024,1,0
3,0.311927194866,0.687137659444,0.523846971964,0.425551985787,1,0,1,1,0.27572573225200003,0,0,0.329526574563,0,0
4,0.332657244832,0.656199668649,0.5031135078719999,0.435197578069,1,1,1,1,0.24696328655699998,1,0,0.647420966967,0,0
5,0.33285734119800003,0.66018324361,0.561545898682,0.424416871499,0,1,1,0,0.242299546727,1,1,0.344129362785,0,0
6,0.30374910069600003,0.689701439034,0.550173233533,0.40372703049900005,0,0,0,0,0.232174854322,1,1,0.469972760137,1,0
7,0.300418242925,0.641060385219,0.593901477867,0.419314316039,1,0,1,0,0.238113953426,1,1,0.31598723976599996,0,0
8,0.294573347278,0.635542763121,0.571313672955,0.400508109918,1,0,1,1,0.313385204987,0,0,0.31648953511100003,0,0
9,0.263663494243,0.659957801043,0.5455501840829999,0.41100586346699997,0,1,0,1,0.233931680588,1,1,0.341009335932,0,0
10,0.275800095071,0.657345681702,0.513081047644,0.342111055474,0,0,1,1,0.346472401528,1,0,0.253619907317,1,0
11,0.254173580047,0.63411810093,0.518823604767,0.34228990351300004,1,0,0,0,0.275052282183,0,0,0.32082907710499997,0,0
12,0.268956481847,0.6775518579009999,0.493108340279,0.37442568405999993,0,0,0,1,0.7235697260799999,0,1,0.305622568516,1,0
13,0.267416347733,0.647496883043,0.495393615704,0.395768847667,1,0,1,1,0.268270691308,0,1,0.25543831306,1,0
14,0.278666888599,0.6083491541570001,0.495555425101,0.383677828178,0,0,1,0,0.252857408494,0,1,0.237279913741,0,0
15,0.299560481994,0.608257933082,0.5259837989239999,0.380620817281,1,0,1,0,0.306686927522,1,0,0.253858376862,0,0
16,0.258687379556,0.5953803994870001,0.539451081433,0.394158758698,1,0,1,0,0.291248590313,1,1,0.22766325202399998,0,0
17,0.268677218787,0.62192670994,0.553116430074,0.412504707286,0,0,1,0,0.270467931581,0,0,0.27353030314,0,0
18,0.274355138033,0.6655039144070001,0.5356488536649999,0.440581594265,1,0,0,1,0.569598393138,1,1,0.452875701221,1,0
19,0.267738653607,0.6415304210939999,0.555225586445,0.416745759414,1,0,1,0,0.322346226385,1,1,0.266803650818,1,0
20,0.26727738350200003,0.661958763101,0.565624233969,0.40463442917099995,0,1,1,1,0.258896121459,0,1,0.243340360638,1,0
21,0.27411165625399997,0.636109202801,0.542459170877,0.404604701352,0,1,0,1,0.256757442061,1,1,0.329180642793,0,0
22,0.261489956023,0.639195671493,0.526069328324,0.405945502231,0,0,0,0,0.321310845957,1,0,0.32980277663,0,0
23,0.257906150315,0.619035848622,0.480657490523,0.392530111083,1,0,1,1,0.313870898022,0,1,0.237040538615,0,0
24,0.27358156463399996,0.6176059382769999,0.456883420992,0.391141745965,0,1,1,1,0.30645298588000003,0,0,0.205587914967,0,0
25,0.275689509465,0.608183179057,0.43503405121000005,0.41855519371399996,0,1,0,0,0.317626038701,0,1,0.243516646985,1,0
26,0.250734925289,0.590897110673,0.430450622987,0.409833488024,1,1,1,0,0.256862791265,0,1,0.217361669552,0,0
27,0.270210858294,0.595268353137,0.439361377485,0.41822005970799997,1,1,1,0,0.254669475174,0,1,0.25514882914500003,1,0
28,0.281504797225,0.649014350011,0.415117625225,0.415948061857,0,1,1,0,1.06854671226,1,1,0.45071709905100005,0,0
29,0.297456460508,0.660931096726,0.42905463992700005,0.372709382531,1,0,1,0,0.594793757048,1,1,0.270100567739,1,0
30,0.312673764691,0.679670798728,0.45435341864100004,0.384543769327,1,1,1,1,0.31279748321,1,1,0.291932001768,0,0
31,0.292804959483,0.6673783563319999,0.415470150123,0.348934003561,1,1,1,1,0.227983525679,1,1,0.311179814489,0,0
32,0.346332999265,0.6486843844919999,0.410855587646,0.368392372884,0,1,0,1,0.39923544852799997,1,0,0.525054697065,0,0
33,0.344227276873,0.664894771646,0.38049782509,0.35707950725599996,0,1,0,1,0.303939697995,1,1,0.26709675705499997,0,0
34,0.373812702907,0.668441535045,0.299800919873,0.362958182904,1,0,1,1,0.25111144919399997,0,1,0.243584867387,0,0
35,0.354924084201,0.679042503603,0.293562056034,0.379702469531,1,0,0,1,0.254312676437,1,0,0.27345031019099997,0,0
36,0.403765590555,0.6552070945790001,0.280229552901,0.342171362162,1,0,1,1,0.321455738845,0,0,0.249976756766,1,0
37,0.33621567327,0.659753281485,0.297602348428,0.352563941619,1,0,1,1,0.279394540919,0,0,0.373175255193,1,0
38,0.333235250353,0.690352707616,0.322852631176,0.369372691707,0,0,1,0,0.6933586533660001,0,1,0.232579346968,1,0
39,0.34276781408699997,0.696246440077,0.326307861464,0.378688904036,0,0,1,0,0.336668586497,0,1,0.19311686335900002,1,0
40,0.32926838854400003,0.7080861899750001,0.347654082143,0.373297825952,1,1,1,1,0.259802305729,1,1,0.263005344133,0,0
41,0.346827506075,0.6941691361929999,0.329050216818,0.369873160618,0,1,1,0,0.607041432122,1,0,0.263624157508,1,0
42,0.36031523034699997,0.6732262449699999,0.332569070442,0.353142097844,0,0,1,1,0.383696290018,1,0,0.229535690741,1,0
43,0.336471908182,0.6718320305009999,0.301501248306,0.347256291456,1,0,0,0,0.341583474,0,1,0.32607963313099997,1,0
44,0.35799947886100003,0.6843095540440001,0.300231386402,0.36365402651199996,0,0,1,0,0.368857145272,0,1,0.345376649062,1,0
45,0.370983356471,0.700025637631,0.27635003934700003,0.348990465109,1,0,0,1,0.318788502266,1,0,0.52460160493,0,0
46,0.355434072608,0.652948290995,0.266769395615,0.327324233593,1,1,1,1,0.383468385579,1,1,0.253318650854,0,0
47,0.361444213249,0.666923275137,0.306155402917,0.339392920124,1,0,1,1,0.298666502455,0,1,0.219112760475,1,0
48,0.364770713002,0.657410445744,0.30344843258799997,0.348286092504,1,0,0,1,0.272523901289,1,1,0.251641817536,1,0
49,0.374545282857,0.6812844677399998,0.295860758168,0.37761441939999996,1,1,0,1,0.297065436043,0,1,0.225519742864,1,0
50,0.372174294763,0.7050027816519999,0.28249487133900003,0.36839212581299996,1,0,1,1,0.273620559335,0,1,0.236712114736,1,0
51,0.37118866038000004,0.700060268592,0.354223984607,0.31704143409,0,1,1,1,1.18345190401,0,1,0.274936367874,0,0
52,0.386338773438,0.7057240708679999,0.36519620419200005,0.301788545784,0,1,0,1,0.34170482179399997,1,1,0.264837635445,0,0
53,0.415189883298,0.708668696264,0.323215219153,0.312352369736,1,1,1,1,0.728901482496,1,1,0.30552989744000003,1,0
54,0.43061541578999996,0.687253665225,0.332177197148,0.36188367439900004,0,0,1,1,0.50830477736,1,1,0.218206274345,0,0
55,0.436099703189,0.6676918290039999,0.34172604046800004,0.360999760253,0,1,1,1,0.380888084733,0,1,0.261374997283,1,0
56,0.423735276301,0.6490121640659999,0.319380209646,0.321699006516,0,0,1,0,0.7467710016210001,0,1,0.254146351476,0,0
57,0.41199725049099994,0.629530526583,0.33131585024599997,0.325660304132,0,1,1,1,0.256888751241,0,0,0.252096720832,1,0
58,0.395989681092,0.644561485541,0.305156215406,0.354066419568,1,0,0,1,0.313401203577,1,1,0.252532606937,1,0
59,0.410469962155,0.63733077102,0.30667950987799997,0.34110172581799997,1,1,1,1,0.231249351001,1,1,0.226393024373,0,0
