trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.708023302581,0.433422456992,0.354067770974,0.639983683554,1,0,1,0,0.330431748253,1,0,0.275029755912,0,0
2,0.712974128332,0.444753781586,0.325344908162,0.646558333364,0,0,0,0,0.221759805263,1,1,0.448420619859,1,0
3,0.711272148594,0.44191094397,0.324347834448,0.634739391591,1,0,1,1,0.213761102057,0,0,0.549799609815,0,0
4,0.70373301612,0.421814505021,0.378221846344,0.653816043751,1,0,0,0,0.264504177298,0,1,0.427258981637,0,0
5,0.697890029002,0.403723298123,0.39093076842,0.676887420462,1,1,1,1,0.24596691547,1,1,0.435312019759,1,0
6,0.673142456419,0.429172428434,0.428032477622,0.733063269222,1,0,0,0,0.23534866564,0,0,0.22204627101,1,0
7,0.636019195369,0.406319975039,0.430159057078,0.74315551263,1,0,1,1,0.246010987124,0,0,0.323381793034,1,0
8,0.636067203624,0.404458739412,0.496298435611,0.742741586386,0,0,1,0,0.382066217961,0,0,0.390142499351,0,0
9,0.64260907701,0.405542521986,0.534270263273,0.724370692772,0,1,1,0,0.451532501184,1,1,0.33694650456,0,0
10,0.625090429065,0.444073816063,0.51563529184,0.699486071676,0,0,1,1,0.254262347685,1,0,0.331622588473,1,0
