trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.553726984441,0.411178013208,0.746839051409,0.342582414862,1,0,1,0,0.750448791305,1,0,0.740425508794,1,0
2,0.586807457684,0.406070185046,0.736830489846,0.311757839154,1,1,0,1,0.225923670915,0,0,0.717039459525,1,0
3,0.582781568559,0.38673557736,0.745114424983,0.324890335052,0,1,1,0,0.1999075099,1,0,0.221640872172,1,0
4,0.579893509962,0.400700832321,0.747120604936,0.334007953747,1,1,0,1,0.202970791663,0,0,0.360770553616,0,0
5,0.599256070362,0.396688705155,0.741788744637,0.362779866656,1,0,1,0,0.230140965899,1,0,0.217214387765,1,0
6,0.595471110245,0.382048589535,0.729082984726,0.374170546855,1,0,0,0,0.182568936669,0,1,0.313703537233,1,0
7,0.603192127208,0.428834901816,0.749168779857,0.394775561503,1,1,1,1,0.0177152953083,1,0,0.186091650323,1,0
8,0.580940708887,0.395911378494,0.747171193181,0.383716035863,0,0,1,1,0.186056332629,1,0,0.247791964892,0,0
9,0.529016901242,0.425694087943,0.721560556234,0.359596231032,1,1,1,0,0.237214768109,0,1,0.309666754911,0,0
10,0.527570146212,0.424926842679,0.718375168134,0.395424978231,0,1,0,0,0.0749797677909,0,0,0.416737327211,0,0
11,0.522850495101,0.465788784637,0.718807321018,0.394499193527,0,0,1,1,0.112772417906,1,0,0.243891321718,0,0
12,0.52212841982,0.47927306173,0.694091753478,0.400426960773,1,1,0,1,0.230545157295,0,1,0.508298299891,1,0
13,0.54870259697,0.515135489795,0.737746613147,0.398561377687,0,0,1,0,0.431053671727,0,1,0.228960388941,0,0
14,0.559324907365,0.468529713053,0.719394100231,0.387816201718,0,1,1,0,0.196950483083,1,0,0.317391670518,0,0
15,0.563666076219,0.477735762979,0.709413308776,0.37251184521,1,0,1,0,0.0267934521594,1,1,0.333785721811,0,0
16,0.611675143247,0.482397371369,0.684704605816,0.373020183555,0,1,1,0,0.267178662558,1,0,0.238275808254,0,0
17,0.651488972541,0.495535088882,0.659660660756,0.38112301253,0,0,1,0,0.216971691811,0,1,0.476099127412,0,0
18,0.647829227615,0.526020189968,0.689097431026,0.382511761223,1,0,1,1,0.230872977949,0,0,0.273944868777,1,0
19,0.630460625171,0.50029169429,0.745983324287,0.348505700846,0,0,1,0,0.201968614342,0,0,0.386469459099,0,0
20,0.639422091664,0.527423684099,0.736621248719,0.410673397403,0,0,1,1,0.410382255182,1,0,0.235010581725,1,0
21,0.674469645381,0.536417354198,0.669241532567,0.394308042628,1,0,1,1,0.226855212847,0,0,0.256763866799,0,0
22,0.611076902632,0.526572243942,0.683642296763,0.363833459532,1,0,0,0,0.176798568697,0,1,0.465260217454,0,0
23,0.640625836161,0.519919971079,0.679864913185,0.30312194873,0,1,0,0,0.241315846748,0,0,0.25511087794,1,0
