trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.452134307829,0.313942763262,0.42640426026999995,0.5534120406899999,1,0,0,1,0.297235709531,1,1,0.753738018012,1,0
2,0.442346584886,0.314936404623,0.482687621161,0.57407064252,1,1,0,1,0.25000565989,0,0,0.805139482339,0,0
3,0.513269612893,0.274373917969,0.488526011988,0.621323801631,0,1,1,0,0.31203715303,1,1,0.341948239925,0,0
4,0.522426750008,0.30758431289099997,0.48977758252400005,0.648777877674,1,1,1,1,0.26201398521200003,1,0,0.385137580616,1,0
5,0.550781667522,0.327043192079,0.48859166538500004,0.620842867068,1,0,1,0,0.22257043544900001,1,0,0.281721270774,1,0
6,0.577492927714,0.313043258693,0.48808914422,0.6576280644479999,1,1,0,1,0.247114738807,0,1,0.679594057568,0,0
7,0.559384650056,0.32675345218400004,0.487009952993,0.64897818532,0,1,1,0,0.221154104477,1,1,0.413575888565,0,0
8,0.594280011662,0.323377190509,0.474402728354,0.6851930498280001,1,1,0,1,0.21907790575,0,0,0.48615862484300004,1,0
9,0.6010835058590001,0.312636840467,0.44734140448700005,0.676414666037,0,0,1,0,0.233024479403,0,0,0.27879986174800003,1,0
10,0.612453239604,0.30799282248599996,0.408768844643,0.6586655597950001,1,0,1,1,0.241590685783,0,0,0.263370245881,1,0
11,0.6412123621320001,0.312660349366,0.482971675225,0.6953293708399999,0,0,1,0,0.263400733824,0,0,0.250549009369,1,0
12,0.705737201865,0.311659545079,0.492473165821,0.690016509886,1,1,1,0,0.263933518173,0,0,0.325760047815,1,0
13,0.741439526355,0.280104799243,0.44692371166199996,0.639125371952,1,1,0,0,0.272540173902,1,1,0.486338835753,1,0
14,0.738087440979,0.326820623833,0.415020337726,0.649954228835,0,1,1,0,0.25984783196,1,1,0.30029627639600004,1,0
15,0.738235996548,0.37538526270800004,0.423555718908,0.658106885572,1,0,0,0,0.7457462527750001,0,0,0.333069003875,1,0
16,0.7007346198219999,0.366417904265,0.450301858583,0.63579432747,1,1,1,0,0.00245986383061,0,0,0.37618619982900003,1,0
17,0.721091738424,0.32705956995,0.459805728233,0.6389704821809999,1,1,1,0,0.216216567027,0,0,0.256726591071,0,0
18,0.7018125844290001,0.35849879305,0.449649512016,0.6384271852750001,1,1,1,1,0.256818658621,1,1,0.353294282605,1,0
19,0.674954988712,0.334028058068,0.490312606378,0.664357820485,0,1,1,0,0.260015364716,1,1,0.43920870204400003,0,0
20,0.6068867937619999,0.33876336142200003,0.46719950663500004,0.675750153801,0,1,1,1,0.273961938369,0,0,0.285103923134,0,0
21,0.5752073157450001,0.35902307263899996,0.491348546517,0.6877487839190001,1,1,1,1,0.303978676552,1,0,0.237694266305,1,0
22,0.603258023712,0.376504074498,0.489593912271,0.7013088019660001,1,0,0,0,0.232356461406,0,1,1.02227038579,0,0
23,0.620091397263,0.427732512966,0.492308892126,0.706347236341,0,1,1,0,0.593238015748,1,0,0.5084872697739999,0,0
24,0.616090643769,0.463139929767,0.455178894186,0.703671586728,0,0,1,0,0.22060984941700001,0,1,0.325086898184,0,0
25,0.657519739032,0.443760169938,0.454369790185,0.716709485179,1,1,0,1,0.24780750939100002,0,0,0.293639037849,1,0
26,0.6956420018389999,0.428030559076,0.465663409758,0.7323015137209999,0,1,0,1,0.264398383837,1,1,0.454298120765,0,0
