trial,rwrd_prob0,rwrd_prob1,rwrd_prob2,rwrd_prob3,symbol0,symbol1,common,choice1,rt1,final_state,choice2,rt2,reward,slow
1,0.440763200779,0.7293901718870001,0.363290114019,0.44230180469999997,1,1,0,0,1.0121734358399999,1,1,0.599591220323,1,0
2,0.472335633709,0.741995432229,0.391934669196,0.480741864972,1,0,0,1,0.42124108794299997,1,1,0.83238191891,0,0
3,0.490498613201,0.688335745199,0.382214969341,0.505802483098,1,0,0,0,0.944708488653,0,0,0.646763284208,1,0
4,0.462736464575,0.7105781961130001,0.349912065141,0.534759857734,1,1,0,1,0.273682250021,0,0,0.500829663966,0,0
5,0.5101376767920001,0.714029475846,0.35639003775399997,0.5594689462529999,0,0,1,0,0.242364510606,0,0,0.722801073537,0,0
6,0.5332411200280001,0.7274403740180001,0.327314884789,0.572119049215,0,1,1,0,0.333808361359,1,0,0.662277411739,0,0
7,0.520975550576,0.7453094492260001,0.331591986962,0.54959867497,0,1,1,0,0.302562464776,1,1,0.553707195783,0,0
8,0.509207948775,0.7344191452500001,0.35205040380400004,0.577639511558,1,1,1,0,0.513924982198,0,0,0.445154789608,0,0
9,0.514859898142,0.700271503396,0.336516451901,0.61944069507,1,0,1,0,0.25597148262200003,1,0,0.552520581613,0,0
10,0.463137907434,0.708726583556,0.35263633814999995,0.600702133787,0,0,1,0,0.33404924614799997,0,0,0.585282120463,1,0
11,0.451476919407,0.730706140394,0.406034574999,0.646825525634,0,1,1,0,0.254785472172,1,0,0.569921941857,1,0
12,0.481790305356,0.7261228402969999,0.431814883332,0.6767244294210001,0,0,0,1,0.49550574787900004,0,1,0.752054991764,1,0
13,0.443690414974,0.7324397491240001,0.40685728952600003,0.659192412679,1,0,1,1,0.269706443548,0,0,0.539476277829,0,0
14,0.442428842269,0.740196562484,0.40792134019299997,0.6294182572899999,0,0,1,0,0.513061962632,0,0,0.5349933454829999,0,0
15,0.426819499174,0.735136320971,0.41589926571400004,0.627207401031,1,0,0,1,0.316526236066,1,1,0.573001524094,0,0
16,0.45831242038599995,0.715938387518,0.43479214064099997,0.611832116291,0,0,1,0,0.0745544461506,0,0,1.0296285272799999,1,0
17,0.499914549796,0.695995005125,0.414867884327,0.610928773263,0,0,1,1,0.430035797654,1,1,0.531907122311,0,0
18,0.48863276904700004,0.702281764007,0.391611905423,0.622960576456,0,0,0,1,0.257405622517,0,1,0.713892864226,1,0
19,0.507993898368,0.7287256556849999,0.44387245767899997,0.6107212806710001,0,0,1,1,0.378215985514,1,1,0.618709563881,0,0
20,0.49389108752300004,0.7243873507780001,0.43855330677500004,0.58601966397,0,1,1,0,0.304338310914,1,0,0.5794504747820001,1,0
21,0.515720704211,0.747752432328,0.473526320564,0.575870305921,1,0,1,0,0.45699014153300005,1,0,0.772252185245,1,0
22,0.5065635122,0.696748066839,0.504603287454,0.56593388739,1,1,1,0,0.404554533689,0,0,0.5624527022110001,1,0
23,0.516331657126,0.693433380836,0.546612994215,0.54241653479,1,1,1,1,0.543964643667,1,1,0.523280247115,0,0
24,0.538221006752,0.680690223928,0.521341993645,0.565907648444,0,1,0,0,0.574086713091,0,0,0.654690748303,1,0
25,0.555879928025,0.6808126089550001,0.537899427976,0.571486483248,1,0,1,0,0.65228371157,1,0,0.636927759014,0,0
26,0.54542989755,0.661230320354,0.543242304717,0.522141557144,1,0,1,0,0.322484663216,1,0,0.544360684825,1,0
27,0.548854087586,0.6958071532960001,0.558774090404,0.503745346656,1,0,1,0,0.7712388390800001,1,0,0.430500361176,1,0
28,0.528322265246,0.697407703132,0.542651903621,0.49450762624399996,1,1,1,0,0.529379643182,0,0,0.524693558626,1,0
29,0.496042889009,0.6607458801839999,0.523298499496,0.49874322847900004,1,1,0,0,0.455536984418,1,0,0.288074361558,0,0
30,0.525160136065,0.673389945186,0.521815120791,0.48931528912699995,1,1,1,1,0.312205101022,1,1,0.507345929575,1,0
31,0.552642956498,0.660068664022,0.5648358877,0.44397308510600003,1,1,1,1,0.427541523195,1,1,1.0627568268,0,0
